Geldanamycin,Tanespimycin
,3.9147355880916
250.148820968408,130.313907648078
,4.925345305268
46.1279539304701,1.7977775088395
672.389909720473,
,
,
,
1.5164028406984,308.409042772228
0.0254802297555,1385.05515450067
0.1060050854103,3009.82375397435
1391.4644811428,
766.704137559659,28.4435911679096
46.3773228787383,270.00023121117
41.8374904178344,1178.33569458812
2648.20400595826,4678.97703478762
462.622098783496,87.47058786743
,525.569817309006
6.8357695525096,741.767621491184
9.189967073044,117.242848288307
,
3.970885647709,4936.639312855031
677.774290738952,504.175150199604
,
,
24.1074632274517,4415.78190778146
1489.20277597811,280.164212601475
2566.19800940368,
,
250.371897694691,10.1590274624747
,
1.1865273044346,164.443473866838
668.448327815023,
306.298822301651,3821.6144733427
,166.395735987479
3.9463971997414,1010.29403502739
,64.4640992609542
0.2575483369363,2577.50714778456
,281.529005517565
,1.4114750663979
234.647831920095,9160.34829491973
,693.30313524527
,
1.7879869812648,792.471747824989
0.6860755091039,130.574303274268
17.5588688625247,1773.47316017583
0.4394342739092,2533.66236839458
,7532.89099372672
206.118875946687,274.420994733703
2053.16383147665,212.83908884026
1446.31882334745,52.1628555257984
,
,5.430379244309
165.591795949145,
105.212097842492,2583.27678929053
4.925345305268,
107.516103030943,872.977692581194
0.232718727154,9301.25881107558
2.6301088685419,313.896178741579
0.2025519498916,
684.760828249304,9293.61859863459
769.152388790553,8.17564840267
,9053.05759388817
,
12.8624201936062,676.14238630253
,
,
,
,
,34.1687300124257
10.5392567385132,
,128.029692522953
8856.1596652688,730.833123850211
227.312894744867,474.8419605836
,1091.03804779038
36.5884047048867,76.349040316532
2585.12082212597,371.326282584456
,
,42.7037824000655
544.392610930137,1246.72391574219
,1.2044560109479
680.985333857605,
,330.192198058626
93.2393177317092,636.305306995316
,
0.977620668876,3106.45272861763
0.2734049598448,411.715259593331
,4.925345305268
3.9972861902348,2041.05860857832
,
1.2567136532612,44.8050105573739
707.048763076064,
176.670589147538,739.508404205145
,
446.473831690545,8439.40107169835
112.006408988497,3.4018831249147
,
1.5673535048616,
540.684610516018,9.6318325778114
2177.86971975334,1079.77547368847
,516.137004281744
132.233578955007,185.522268956601
,36.9099482897474
49.1736300295269,
1711.51892387004,5111.91580981205
,58.852953561997
2306.23788132099,32.3069600838493
,
,33.2540208643313
,480.448256915351
51.3258857374251,111.518262586741
308.631579892035,93.6347662191274
,
120.179480101974,1621.19597898859
10.6210781034583,5509.10231172892
32.477150866557,
,
2224.04213545572,156.370145795214
2.3232029845273,504.31010368237
,1537.00505329953
6.9526770817315,112.177138535856
,7532.89099372672
2315.23488786378,17.9876426866211
,4474.09521678972
455.33575811161,14.4588757722619
8032.124462663181,414.201763602346
90.7040743231597,64.9744824465037
5.7803040800954,114.538672043375
7878.1341739646705,12.3312937314248
706.466428663672,
579.300680950528,9.231303309615
,849.39658080567
,3.7274694951115
1072.97444653234,5.8645896319263
1.0824488634682,294.063758783293
,644.770734768246
,
48.3032538795348,60.725575772724
77.7636197066993,213.722333700454
395.98451295388,2507.90507978273
,9925.871641822969
52.8577649746645,44.0298396291618
96.6538939220012,418.572119571727
525.84819772538,1.0036662306363
3.1626229173563,137.089809789596
681.058460910522,
4.925345305268,8982.62858037495
4732.21280947678,950.613545749817
1050.18877251525,268.531259630891
166.744212218288,2759.96663473472
1614.14024894992,7659.687562673341
15.0025834357636,
,
,1538.47827194928
,174.926997055056
31.5540678508456,2123.20567659094
265.58498736535,352.345852810261
1801.49531334699,1.4301078445293
979.853315057518,9201.90344351413
1126.87520656682,3.5772199681676
,
117.682722462192,683.830813612542
4.925345305268,
7.8692741823238,50.0846297645083
,38.7485935571368
8.4725513926112,23.7488348865235
547.821630135835,
0.1725740703933,273.488981625799
,5.0558852391445
86.0658063019621,7281.943007757511
99.4668645926599,130.248993524627
4.4407037193876,529.803836258856
1437.69448600604,1934.82966073958
,64.7875330603612
,
1.5996332212821,588.451557732347
280.800195161297,1377.55099638648
12.185293875262,763.325555697753
1159.5902127166,334.580394666042
267.79101372623,5522.89087506024
,12.464361653892
41.7175751359371,5236.05691767386
1.5375454504431,375.581196069556
11.6271171156731,1880.63145575337
,
,
0.0289777435166,303.11549670855
9525.692665728659,346.616477994319
,21.7616174266318
485.39367442366,30.3458430228687
21.7675872607279,786.525587410086
1.6097824338331,116.869747828642
1219.71224107607,3470.46756450869
1.5780331899337,
,25.3487195593182
,
373.056301926143,7080.59890249254
,4.5872143665166
80.95509656525,2682.7430521991
2737.68328604418,1768.12425583885
,
,
,33.8063809818581
,0.2885272458418
,11.6583335659359
100.889117670419,35.3727601912591
,3479.28690567805
22.0925855674122,2986.67257103564
3273.25206898004,1300.32931226803
,735.709948105251
,1722.41333386106
59.2913422061008,1297.78186109926
739.654706488118,
1448.3405765826,3.3200813055779
,
931.732262244472,2330.93310242472
,525.569817309006
878.327100687936,6.3876988695679
,59.8766227051416
0.0318631237788,684.114033687479
87.5835931906659,31.2861750560903
,0.1059209432084
103.479711923774,981.831145412009
0.2300857850105,57.3302146529808
2327.05084515975,4.1623987859111
765.508920636109,115.040597419283
950.661300623772,
2143.07530926507,313.483999279642
4600.033881421969,124.938208813283
,2.878612949313
846.805019241529,
,498.876726461637
352.67003314718,1565.40718585614
519.137361701712,3.3351808893486
,4.3376586591145
701.686732508497,817.761822566084
,
525.569817309006,
460.778145820026,106.061188855287
3.1537386237247,3.300873823239
,7.2579110646794
95.5254075408551,1.1446577844248
1612.00090361731,35.6767007848535
35.6205132863868,0.3179698857956
,0.0747288312224
0.490075286527,1086.56783556631
1536.76254098969,0.0832787077027
17.7263917061959,332.927794127596
9195.60821469449,531.174518931986
16.8585730915837,37.178917894703
556.502700921887,38.2739337589637
117.909316548086,245.97438280862
,507.87308882584
1603.02004890705,1173.87519415587
525.569817309006,
,1974.75457677424
4038.6935905863697,3.0503659864133
352.827574393844,996.71194892652
,9075.38092660199
,
286.155689774888,130.738543654604
104.62581326881,29.952564629089
821.103757546779,3.8030204868126
,525.569817309006
191.994205356541,1.5328436448765
754.245920299064,2479.04782268897
8773.0715088427,334.899269710413
9.7703222409978,7.5805105686307
0.0107614212868,334.425373830723
458.082248795804,2424.94650051432
1.2507423104276,3380.48621696601
,234.647831920095
31.1299504820204,658.474056805257
967.154329611964,
12.7500239762948,
0.0180717961608,
751.178267505038,1719.47187081896
0.3474795037551,95.5517003290472
2399.25165003462,503.085794633492
769.44126051311,581.777966695207
1176.749414552,3356.80887107038
868.441691119349,947.342901803664
30.5003732353739,
2175.20411039105,2.0861818815317
,1.4247968490351
,4510.13231397476
1161.75006100872,238.194513270847
444.371143460953,678.293440858926
,
102.203745379238,
10.0886166168549,99.8084541165554
0.1607337514679,
14.4704987546641,832.436688329423
243.299653902803,1132.78451076898
0.4140570377532,92.7906124898778
571.481373562049,345.926369474176
0.2541410863073,92.9506829454585
,717.027394015313
13.7348383606094,1511.88495381428
666.945794236834,
,
423.546143081135,137.605846598142
1400.7400210693,1588.89358502968
82.0580291742504,938.013770074335
150.93684935305,
,452.45875259328
525.569817309006,5140.98238051482
108.440609496511,297.221262650752
,
7532.89099372672,7532.89099372672
98.7606673524718,0.4695887643381
,
540.824785530141,4.7935296439767
1.1073314798387,174.865801950655
719.600691963846,
,
314.405835746359,3.0258006088624
552.860346607448,
2600.19326129492,6599.88198503087
210.241564397985,693.841295423334
490.382786864001,1.9270289961141
1823.45471859671,13.142324404627
1.7784899178084,2033.19758580942
,7532.89099372672
1548.71899523383,61.2107682665744
,1.1967225215047
472.678634570577,266.26360927123
1006.17954288189,10.3420372551509
8364.65209656317,1.2648563697248
,27.8281807126766
1409.86423187018,
34.619262265703,376.422232956288
22.7715261784396,905.674262838946
2917.60255952904,137.091506976912
709.380770256169,9057.16165148216
3712.97777102986,1112.81149025335
,1195.08945246078
34.4782667492279,12.9926300720909
0.1227928298035,291.581883754382
8.397644397233,224.42526258229
0.0232395533903,32.4997621933897
37.0625763427988,545.80466458033
11.1093694837237,1166.23394315505
,329.139999155034
4032.7404666806,2221.96901821386
884.378056392064,989.177239486526
33.3795738116596,2015.30994558577
525.569817309006,
,21.1747957930484
,208.977407943394
2846.08859811477,299.583254060228
10.5867316215314,2036.92159151734
45.4218050521823,266.52622653595
0.07894888875,384.339057129579
17.1982340409011,163.027806352497
34.5657950079513,481.001558118652
40.9271671425122,12.6309326069812
,10.3610565638141
1107.54660070436,2344.80763787698
435.551797195809,402.064213923426
,506.502653927167
1072.26515834929,2.4157185980861
,73.3863312523201
9.6697273893807,112.694257193348
149.807182857927,1154.35771733532
1.8842679514071,
1.6308268416718,342.60666979685
0.7692350167701,352.946658889236
460.765764028442,39.1824226762585
0.1742094490246,875.042747841006
,16.7283157710316
121.586246879746,59.2667907833827
969.931619567536,1140.46606681246
1080.26355344735,448.281285552467
,8.2218245939152
,2.1797601861933
143.433386224167,149.02472190518
0.1081219907776,180.739231961114
3417.26662165402,5922.48088540135
,
51.2461904555627,3.228488322546
,
1018.28586052436,
994.424269024748,1092.04985667623
4.1597722686027,
458.867652044559,1012.00425460155
3839.49460366334,1406.05310713881
38.6553273830184,427.255071934423
,
160.054368316171,9282.30443321743
,
299.901779529601,690.628463858419
813.410211073094,32.5134018643263
,
,89.1631310689442
0.3681636349521,75.820180270094
0.755006072621,206.570139105879
,1218.51052261748
0.1247338663852,1285.91580630998
40.8311403614553,4.1899725863509
226.961639665298,675.798106031613
,
9.7512284478453,1709.17341898575
54.392839907445,108.235302062819
29.4941059055316,606.464262515367
829.553785826795,
543.491231147439,82.5326318174598
618.173148934474,
90.6829469058289,185.456399508617
3710.7209588313503,9324.75448321426
,
,
51.0119856418423,32.8332196769452
1044.85822868537,667.18173036732
0.2686347616668,107.187816669396
0.1377533729047,4445.7213161458
193.389402663073,105.318668157598
857.823047016944,292.740775587422
1029.4809720367,0.3918732150377
6.2886202617517,294.583836481404
,
,1203.0494310322
1.2885443780734,3.7068967138894
1715.14559680666,23.7905745273818
2324.8585642171,
343.519622935993,
171.043913918198,42.1988030737431
,659.318411024338
1545.39755812487,3.2562157727581
0.3113144586857,343.138927341104
,
717.547504854354,340.093255068596
2006.13511219676,2746.08450545074
,1.0231239606615
,
,1929.29023576414
59.2195738285586,213.749321872308
3345.65660855683,95.7738687794767
5074.3688796013,392.886784541495
953.394501927524,405.809179116207
106.555879645333,773.695373788794
4800.51832951739,1028.16152649416
,
92.2317146364388,4172.11851798094
0.4448724577758,1067.27764419531
751.424838924253,1321.70766846224
578.971785149926,0.5703968685869
