GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
39046814.8333333,61776419.0,38656970.6666667,43920237.8333333,48022122.8333333,37084686.6666667,51614483.5
0.0,,,,,,58474188.0
56303501.1666667,68353168.8333333,65051047.0,51174799.1666667,68836956.3333333,71733804.6666667,53884895.0
345715711.5,476435174.333333,369946519.666667,386520432.333333,545574378.333333,528839784.833333,430426456.166667
30361966.6,59069475.0,38868546.1666667,52243911.1666667,47466479.8333333,32750123.8333333,58821123.1666667
900585791.0,1109113586.66667,884979724.5,903352816.166667,1279338685.5,1071989093.5,989810684.0
,,,0.0,,,
10668400.0,,,,,,35425500.0
44084653.5,64572368.0,47099329.0,48735744.6666667,76694041.1666667,56809058.1666667,47628929.6666667
0.0,11606520.0,10463527.5,8848494.0,,,8991199.0
33919827.8333333,31675569.8333333,25378600.0,29830498.1666667,44149974.8333333,37996150.8333333,28575367.6666667
177408110.666667,214648288.833333,158705547.0,208611770.833333,210556865.666667,168072426.833333,184563210.666667
26641793.6666667,42591674.0,21869600.1666667,49194260.6666667,36179386.1666667,30758630.1666667,54381747.6666667
893525575.666667,1483859292.16667,712020775.333333,1020241128.16667,1277190915.16667,1046927242.16667,1041205990.0
246890060.5,344784021.0,331751967.666667,252786150.0,317030656.0,276834201.333333,261949900.0
35067583.0,43692251.4,40915672.8,45182335.6666667,74325841.0,58881110.2,43669745.0
6276514.16666667,12330192.0,9074783.83333333,6072709.5,13768978.0,9401391.0,6492173.5
145947113.333333,215615730.833333,129565529.833333,207406952.666667,230290571.333333,185950817.666667,209958627.0
1261204920.5,1175047895.66667,1739157582.5,826423962.5,1340699252.5,1323524634.83333,874559731.666667
9948038.33333333,12903801.1666667,11120837.5,5832416.25,12494510.8333333,11052569.5,6801143.33333333
0.0,,,0.0,,,
9135866.66666667,24645000.0,,37308500.0,18162600.0,22281800.0,32549000.0
1906700.66666667,,,0.0,,,
362329857.333333,443182096.833333,277313879.833333,415806200.166667,480452657.666667,384787737.333333,419525962.5
15890990.1666667,0.0,,17142435.8,,,23075534.6666667
4712258.16666667,7346749.5,5327626.33333333,2496208.5,4135205.5,5155817.0,3664704.0
56362466.0,91575440.1666667,61909750.5,115839605.166667,95807663.3333333,78291750.3333333,113988955.5
13237122.6,18153050.1666667,7778463.0,18515048.3333333,22269742.5,12638115.8,17814785.2
47659880.8333333,45285357.8333333,49006377.8333333,27559251.8333333,71968372.1666667,44537340.3333333,33499060.8333333
714122512.0,1028127675.33333,768867787.333333,840504701.5,1141463724.16667,974732670.833333,978817392.0
70739241.8333333,103769835.333333,65458795.8333333,84760577.3333333,105354697.5,85165872.5,108632152.5
50058801.8333333,35259689.3333333,38426415.0,48345895.0,69774685.6666667,54809711.8333333,58449017.3333333
44808260.6666667,87608669.0,47482401.8333333,102143186.666667,84380472.0,81966330.1666667,155463190.5
9068317.33333333,14536137.8,12330606.0,16053001.2,15972132.0,,23727603.3333333
40453161.3333333,52925358.75,55103785.8333333,48373094.8333333,76624266.5,52706782.0,50658379.5
579477299.5,675874249.833333,514950396.5,578517416.833333,762326764.833333,645630240.5,557377208.333333
12471114.0,526177.0,5286686.66666667,,9761073.0,,
6154996.0,14392973.75,6751166.0,,,,
25635899.0,28805949.0,16668932.3333333,37300711.6666667,36623218.1666667,24522561.6666667,30468589.6666667
85788370.6666667,119285131.833333,68108655.1666667,115758418.666667,99448460.6666667,93772810.5,113601463.0
3391925.0,6590631.0,11960477.0,7025194.5,0.0,4301261.0,5339866.66666667
6632208.0,5513366.0,4389574.0,9078906.0,,11320921.6666667,8558478.0
578169013.0,26226277.6666667,20193488.6666667,0.0,0.0,30637306.0,
8403056.4,11837483.0,,,0.0,3969684.0,
39361000.8333333,54698303.6666667,44551951.3333333,54605194.8333333,49588540.8333333,43013356.3333333,38889172.1666667
30692113.1666667,29717058.5,25575559.8333333,24648417.0,32502492.0,30133503.0,25099657.8333333
,0.0,46770288.5,56102799.5,20483891.0,,0.0
64564815.0,105707002.833333,76693408.8333333,118217248.333333,107995335.333333,87939894.5,98409038.3333333
40908353.6666667,44876910.5,33612498.5,39346831.1666667,36246772.6666667,40002452.75,41427397.2
31856876.0,37881291.8333333,22499287.5,20585795.0,29782434.0,23392376.6666667,20790313.5
331703008.833333,536880117.833333,471585534.5,445013782.5,605407602.5,572946288.666667,431370633.666667
1878424424.0,2112400204.83333,2404623065.0,1785561499.5,2596526788.83333,2274189033.83333,1990520599.66667
883486410.333333,941429377.0,809874035.833333,1047603341.83333,1202128828.0,1146186726.33333,1188570721.83333
271523386.166667,278887815.0,248482493.166667,200276446.833333,332539334.166667,286216519.666667,233463344.5
,13222164.0,16799523.0,10090056.4,,,25071836.6666667
98591694.6666667,106308813.333333,84041428.0,131597255.0,167270209.8,153172541.5,165985040.5
145321637.833333,138659661.333333,134140197.0,164136596.5,182923176.333333,166140604.333333,161388503.0
14222847.8333333,18547543.0,12174290.0,14459828.1666667,21516034.5,19060802.6666667,14387023.1666667
671300935.166667,753917392.666667,831145918.5,649634421.333333,906649230.0,762815310.5,717511342.333333
61957434.5,76990564.8333333,70208548.3333333,55921649.3333333,68254948.3333333,58778584.0,45909634.5
,25364560.0,,21693939.0,0.0,2300805.0,594063.0
432288373.666667,575215601.5,582784375.333333,466846473.5,521003084.0,447039764.0,440612644.166667
27340686.6666667,39373543.8,29065592.6666667,25978905.6666667,44381110.8333333,41733750.3333333,27565731.1666667
206789927.5,269373709.333333,216261823.666667,212972503.166667,266664343.5,239702247.0,237746071.166667
,0.0,,2785323.0,,3322329.66666667,3022544.0
1247132954.16667,1271777152.83333,2172448413.66667,790068764.333333,1267901675.0,1074109593.16667,958574196.333333
662787773.5,833732843.666667,818065405.833333,570611703.166667,867602060.0,738183561.333333,627254281.166667
10318298.6666667,,6590640.2,2889793.33333333,10110816.3333333,10474675.5,
33106608.0,30778383.1666667,30966212.0,36834971.2,55346577.3333333,50414179.3333333,46399109.6
0.0,,3712258.0,0.0,0.0,,
8813720.66666667,9385785.5,10823538.8333333,9709689.5,10420351.4,9580352.0,11287434.0
24908570.1666667,21242454.6,19452106.3333333,21566520.1666667,27308152.8,21509120.3333333,29054029.6666667
,7675516.75,8112623.5,7973182.0,,,8943724.0
43293507.8333333,37822657.6666667,99493372.4,64049913.0,60439641.8333333,51582993.0,74132011.6666667
91418534.5,102082014.333333,105185033.166667,35098029.1666667,105519813.166667,86050202.0,46358346.8333333
62144055.5,55423114.0,67377010.8333333,43782536.6666667,79018918.0,60899667.1666667,46475843.0
119210349.0,131437864.0,145246018.333333,163443753.0,129363083.166667,107718913.0,137365440.0
,15467697.0,26860347.3333333,0.0,,,46412264.0
79814551.8333333,75536529.6666667,55767497.8333333,87522058.5,123874973.833333,96081094.5,74117110.3333333
,11435383.0,6096331.0,9211812.0,7027171.0,9827579.5,
289344279.666667,232774421.0,446163727.166667,116422518.166667,318330100.666667,267607963.5,133884907.0
2050935538.5,2242968611.33333,2636483986.16667,1697577459.83333,2672177008.16667,2194639856.66667,1769983738.5
214562695.5,217757577.833333,316397149.166667,249517626.166667,401619401.333333,434104842.833333,248336670.666667
17649684.6666667,18826519.8,20783402.6666667,16575688.6666667,24716680.1666667,17932206.5,13958525.0
162770544.666667,171865927.833333,94717630.6666667,155806599.0,296241330.0,290786312.5,216512159.166667
2316505507.66667,2233441314.83333,2828912851.5,2143771939.5,3414122301.0,2947023869.16667,2793125867.0
89619155.8333333,154123599.166667,100934682.333333,159366266.333333,157133384.5,130974808.0,157567777.166667
107451749.333333,127616112.166667,82614941.0,65947503.8,115393300.166667,90325354.3333333,80158252.6
32595763.4,36730437.0,70285716.1666667,96622.0,34188184.5,36150851.0,12558818.3333333
84842192.8333333,81500439.3333333,82783796.0,55811701.5,91191877.3333333,87962575.6666667,67532787.0
79542206.1666667,74964144.1666667,77854124.0,64289449.3333333,98684568.8333333,92389634.8333333,72107089.8333333
328386220.5,430956176.166667,259841049.333333,376488998.0,457616230.166667,412453795.166667,415916710.833333
41463119.8333333,71397978.1666667,52766596.1666667,54989698.0,,54519446.1666667,53129412.8333333
397198547.166667,478962374.333333,422418219.0,400205784.166667,562232794.666667,477597518.0,446345604.333333
,,13612964.0,,146037743.0,0.0,
6419626.66666667,7925759.8,13019389.0,10810035.0,11397082.3333333,8714408.2,
2502096503.33333,2497407893.66667,5423896418.5,2201275451.33333,2919514237.16667,2761810617.16667,2307380384.0
2434717356.66667,2553374743.66667,3011249571.16667,2024432263.0,2774795893.0,2479566307.66667,2111875239.0
410396498.833333,519717501.5,475226534.666667,396100837.333333,550182639.5,462099026.666667,433854820.0
0.0,,8646372.0,35886368.0,5919199.0,19927791.5,2442884.0
44798328.6666667,53041707.0,39357939.0,36116076.3333333,63639500.1666667,54860678.5,36976573.1666667
14551643.1666667,17307613.1666667,,23684205.6666667,20485098.3333333,21687543.1666667,
98610390.5,120970750.833333,106484711.833333,100027329.666667,161483021.166667,125418726.0,99566699.1666667
34270625.6,6743313.66666667,4650182.33333333,5850951.5,0.0,3430355.66666667,11908649.5
635587449.166667,803797464.833333,745507069.333333,636835757.166667,899729724.166667,788427128.5,654990696.0
9183816.0,3308047.66666667,6158801.0,15351657.0,12610263.0,9410655.0,6775849.5
28627162.0,,7867567.0,,0.0,,18747700.0
12947233.3333333,11164411.5,11183598.6666667,10221771.5,20529781.6,14653106.1666667,11498472.0
17139018.5,22641468.0,20071131.5,23288814.0,28835756.6666667,26967449.0,22117446.5
1020937101.33333,1202996127.66667,982250242.5,830633446.5,1317896992.83333,1124323072.16667,894440959.333334
108079174.666667,137314995.166667,126403163.0,115545216.0,164824922.5,143245095.166667,116238693.166667
25212221.2,22766418.8,18254813.8333333,31490489.3333333,41006749.4,21214992.25,26073701.4
,0.0,2501655.0,4262176.0,0.0,,4166383.33333333
55798354.6666667,72496118.8333333,42989973.5,83253296.5,90902622.1666667,64931100.0,77353460.1666667
0.0,,7078140.0,4346179.5,,,
,12953084.5,,,,,0.0
3479121.25,3515081.5,4059732.83333333,7389583.0,5473280.66666667,5213015.2,
7270215.5,7295674.0,178654781.333333,8696149.0,,6357552.5,
20295580.0,26517126.5,23486463.6666667,30209711.0,27193746.8333333,24276637.3333333,34271601.3333333
,4566972002.0,4055939514.16667,3012693033.5,5000847918.16667,4307519896.33333,3380716086.66667
15852213.0,11016250.5,,12719642.3333333,12434372.0,16736827.75,16328528.0
24795871.1666667,44174980.5,30803732.5,32454757.0,32773629.8,47176075.0,30739917.5
294938342.333333,334232947.5,305304266.0,304451534.166667,403178839.0,331971985.5,298687900.333333
15005766.2,18962365.3333333,10233081.3333333,16520623.3333333,17053100.0,208338174.0,27384043.6666667
41849228.5,52633484.3333333,50911848.5,31707623.8333333,48890633.0,54746824.8333333,42960167.6666667
137288259.5,165319182.833333,135582638.166667,156152970.5,172237989.833333,151209567.166667,168919251.666667
176287501.833333,174791091.0,472150785.666667,78751699.8333333,146827094.666667,128851749.166667,102857227.833333
676904455.0,884758785.833333,990773749.333333,661014465.5,1201418836.33333,955271725.666667,749458829.166667
20983405.1666667,30917742.6666667,22884591.5,21369059.5,24890447.75,28125549.6,22931717.0
2577027.0,6677720.8,4214078.4,0.0,,,4527261.0
