5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin_D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Doxorubicin,Cyclophosphamide
,341.78243784206,,678.53486464039,3229.2200183291,,,870.099177204221,,61.538945849615,,588.31734164373,0.2756997801412
2531.54842950803,,0.130269992189,14.6532523471011,90.0238489504522,10.1024619375684,897.257546451519,1.0112282232143,842.377610736545,,3456.07902376906,6064.993302580409,
,,0.0491180477568,505.879651675732,,,4.925345305268,,,,,84.5775961538318,
,,,,,,,,,525.569817309006,,,
7382.31898585199,1215.66275842889,,292.095620415563,0.0340314184182,697.411339823034,400.353197791573,,800.168620778413,,7.0515567322449,,
283.113348796671,,,2.5400413912747,,,1067.5710633352,,28.7193868487856,1.7726679034002,2.9419674498306,234.647831920095,
459.751788589583,23.7685630453166,352.795493377234,159.502771354636,,35.3576566374106,5.3161741682158,55.1168417138681,669.876262135289,,,0.1134993712781,13.0447059278266
668.453745803226,327.384286124093,90.8602834148798,280.90099998453,9.1260925275289,26.5841688269816,,70.2653014833163,1089.86176099789,1878.88578471414,904.959178643121,160.624290244728,181.22403701821
2652.58051873934,3.809868252949,617.213910842868,0.0218183917878,695.079585044044,7.894081229297,1377.1452017398,,,29.3775508732283,27.8404240843289,1634.61238757995,2014.84492192563
0.5826935082354,1.8208530829652,,,,6.2870803481136,3.2127270731727,,2265.69100751498,0.0209844581954,0.0227554014353,45.8740708047316,27.5629241879174
30.7809412786311,,,244.24870113197,438.549132199382,67.0898166272649,325.433997986761,2.3594262425841,,1.568015295752,139.453842561193,299.719818259502,
8259.6521810742,,,1518.94346448128,59.85000258667,15.7562424023421,1608.43005347698,5.1762847825834,1206.66634029585,3483.17826395089,,1841.07994797469,2522.54319334358
4429.53645664333,1.1966730820149,361.594186178922,8294.501364903,31.8091867634675,12.0396395021174,226.258112476317,5.4541791711957,305.046303526862,4038.98703947846,36.6081888578806,0.9906995489199,0.2514653440625
,,,,6.2255426092288,,1.4124782995394,9853.61646672662,525.569817309006,10.5282722435513,,4.268901193146,443.736284304757
349.254581226905,3.2424045778824,45.7496014373522,201.124899488518,44.7029184725327,173.09500311235,2.6690865921685,9.8736808647617,,17.1926499649869,,38.7876685909572,236.40029789007
2.7372757643962,664.347478500231,225.072848682879,19.6495943449127,1.1612318525767,30.1275522602002,440.07106561836,420.865239990797,1710.05132424341,14.5660841315735,2396.39379248212,4405.4239306234895,4113.62141389414
352.910979838917,5628.15207847269,6185.48015082106,1515.09721232158,33.5445934957647,9.7298496104279,21.8658584496082,303.57941310623,1851.08095858405,16.0824699409893,344.938469586553,255.025608355904,30.0671860206176
,2058.63886558751,491.29461317543,4.0055861154137,,525.569817309006,,,525.569817309006,,,,
244.485625867999,1772.94238995049,1582.38702798736,544.314144519682,30.6840103707795,12.13851825217,5792.24984806671,,,,24.2839107108544,,
