5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Doxorubicin,Cyclophosphamide
65908210.8333333,78923190.5,89341611.3333333,89341611.3333333,99523508.3333333,95195502.6666667,74027796.5,71177446.0,65908210.8333333,99523508.3333333,65908210.8333333,71177446.0,95195502.6666667
1135370959.33333,1023437385.0,1312649995.33333,1312649995.33333,1400820980.66667,1188655730.66667,1115088665.83333,1169586050.83333,1135370959.33333,1400820980.66667,1135370959.33333,1169586050.83333,1188655730.66667
12531240.6,12145096.75,12989948.8333333,12989948.8333333,13867601.0,8781659.0,9233841.16666667,7419523.33333333,12531240.6,13867601.0,12531240.6,7419523.33333333,8781659.0
63429060.3333333,70171051.8333333,72068479.1666667,72068479.1666667,74038747.6666667,66743634.3333333,58925584.5,85039847.6666667,63429060.3333333,74038747.6666667,63429060.3333333,85039847.6666667,66743634.3333333
,,,,,,,0.0,,,,0.0,
59867271.6666667,97607962.0,93775661.8333333,93775661.8333333,104634327.5,84049680.6666667,62989714.1666667,176767739.333333,59867271.6666667,104634327.5,59867271.6666667,176767739.333333,84049680.6666667
132969308.5,125333412.833333,190266273.5,190266273.5,132805883.333333,110001838.833333,114428046.5,149369165.833333,132969308.5,132805883.333333,132969308.5,149369165.833333,110001838.833333
43905243.3333333,24460699.8333333,37794885.0,37794885.0,30454646.5,33713108.6666667,35884528.1666667,17915308.8333333,43905243.3333333,30454646.5,43905243.3333333,17915308.8333333,33713108.6666667
,,,,,,,,,,,,
38390240.3333333,43593333.8333333,41800587.6666667,41800587.6666667,43515979.0,38877690.8333333,36014887.3333333,47312924.6666667,38390240.3333333,43515979.0,38390240.3333333,47312924.6666667,38877690.8333333
0.0,17599517.8333333,10244860.6666667,10244860.6666667,0.0,10962751.3333333,,6667262.66666667,0.0,0.0,0.0,6667262.66666667,10962751.3333333
186014136.666667,562921798.5,198755917.166667,198755917.166667,345116787.5,316814139.833333,174384613.0,448705340.5,186014136.666667,345116787.5,186014136.666667,448705340.5,316814139.833333
,5369532.0,,,4119813.0,6275510.0,0.0,4071932.5,0.0,,0.0,4071932.5,6275510.0
903207519.333333,802672947.166667,980865709.166667,980865709.166667,955357624.166667,924997614.0,858659672.666667,,903207519.333333,955357624.166667,903207519.333333,876441407.833333,924997614.0
8340205.0,5742615.5,8326988.5,8326988.5,7141952.0,8550021.0,6421784.5,7142287.75,8340205.0,7141952.0,8340205.0,7142287.75,
15218472.6,29040317.5,24293542.8333333,24293542.8333333,25748604.0,28131231.8333333,10946629.0,22070482.8333333,15218472.6,25748604.0,15218472.6,22070482.8333333,28131231.8333333
,6740566.5,5796057.0,5796057.0,,,0.0,27198665.0,0.0,,,27198665.0,
33633384.3333333,81704401.6666667,67483634.4,67483634.4,39442274.0,68644907.0,38206143.2,103185588.166667,33633384.3333333,39442274.0,33633384.3333333,103185588.166667,68644907.0
64066938.1666667,40373125.3333333,71161041.6666667,71161041.6666667,71359322.0,40256600.1666667,63931213.8333333,58251395.0,64066938.1666667,71359322.0,64066938.1666667,58251395.0,40256600.1666667
0.0,24648636.6666667,23825519.8,23825519.8,,24056617.6666667,13300489.0,25158727.6666667,0.0,5511710.0,0.0,25158727.6666667,
71164752.0,25213185.25,17028925.6666667,17028925.6666667,16027001.3333333,18549544.4,,23903054.6666667,71164752.0,16027001.3333333,71164752.0,23903054.6666667,18549544.4
34850522.5,27232196.3333333,34061427.3333333,34061427.3333333,31773504.5,36526700.8333333,32485410.6666667,46178582.4,34850522.5,31773504.5,34850522.5,46178582.4,36526700.8333333
,4169242.0,,,0.0,7218867.0,,0.0,,0.0,,,7218867.0
,,,,,,,,,,,,
,212275243.0,0.0,0.0,,22295375.5,0.0,20487506.75,15388474.0,,15388474.0,20487506.75,22295375.5
0.0,,0.0,,,,,,,1917343.0,0.0,4071383.0,3026728.0
25691367.3333333,15701664.3333333,27828487.5,27828487.5,24069311.8333333,25032702.6666667,24076786.0,19279325.1666667,25691367.3333333,24069311.8333333,25691367.3333333,19279325.1666667,25032702.6666667
8241250.0,4911808.6,3847494.0,3847494.0,6737949.5,6003311.33333333,4526680.0,8011859.5,8241250.0,6737949.5,8241250.0,8011859.5,6003311.33333333
25399445.3333333,24442834.3333333,31505584.3333333,31505584.3333333,28410509.0,25130145.6666667,31721752.3333333,26074041.3333333,25399445.3333333,28410509.0,25399445.3333333,26074041.3333333,25130145.6666667
24236288.5,26917343.6666667,29056722.5,29056722.5,34696907.8333333,29536712.6666667,33701429.8,29212497.3333333,24236288.5,34696907.8333333,24236288.5,29212497.3333333,29536712.6666667
8862040.0,10444528.5,10629723.0,10629723.0,,7334343.25,9983169.75,24668821.6666667,8862040.0,,8862040.0,24668821.6666667,7334343.25
25827023.0,19817772.25,16020173.0,16020173.0,118150189.0,19400041.0,36972472.3333333,0.0,25827023.0,118150189.0,25827023.0,0.0,19400041.0
,8978713.0,13685086.0,13685086.0,6925822.0,11202365.5,43597377.0,0.0,23577670.0,6925822.0,23577670.0,0.0,11202365.5
66462963.8333333,68975547.1666667,71528859.0,71528859.0,68977495.8333333,58648214.0,63478348.8333333,65567627.6666667,66462963.8333333,68977495.8333333,66462963.8333333,65567627.6666667,58648214.0
17284913.0,,22042469.5,,16144510.0,,,22571254.5,17284913.0,16144510.0,17284913.0,,0.0
0.0,,,,6494259.0,,0.0,,,6494259.0,,0.0,
12331227.75,11418211.6666667,12779388.0,12779388.0,14059711.1666667,14249791.8,10431672.1666667,10090767.6666667,12331227.75,14059711.1666667,12331227.75,10090767.6666667,14249791.8
357520.0,10620084.0,,,30930767.0,0.0,15318364.0,15058945.0,,30930767.0,,15058945.0,0.0
8889198.5,5642776.25,7934752.0,7934752.0,9892374.0,6733911.75,9195937.33333333,11732613.25,8889198.5,9892374.0,8889198.5,11732613.25,6733911.75
77860811.6666667,66422751.3333333,87845381.6666667,87845381.6666667,91412017.8333333,79546929.3333333,74252294.1666667,63322125.1666667,77860811.6666667,91412017.8333333,77860811.6666667,63322125.1666667,79546929.3333333
,14121051.5,14610429.6666667,14610429.6666667,6435557.5,9419345.25,0.0,11363756.0,,6435557.5,,11363756.0,9419345.25
,0.0,,0.0,,21960968.3333333,,14915776.5,,,0.0,14915776.5,21960968.3333333
45897952.6666667,41896893.3333333,61431827.0,61431827.0,54856887.1666667,59428859.6666667,37760887.1666667,61191148.8333333,45897952.6666667,54856887.1666667,45897952.6666667,61191148.8333333,59428859.6666667
3793620752.66667,4385697997.83333,4745758139.0,4745758139.0,4179713279.33333,3933708484.83333,3484079947.0,3021325281.66667,3793620752.66667,4179713279.33333,3793620752.66667,3021325281.66667,3933708484.83333
,5514930.0,5476893.0,5476893.0,6658916.0,5301328.5,,5542674.66666667,,6658916.0,,5542674.66666667,5301328.5
68505307.6,71689321.6666667,52036120.0,52036120.0,54339177.1666667,46070569.0,61989969.3333333,20324024.4,68505307.6,54339177.1666667,68505307.6,20324024.4,46070569.0
67308271.6,16474280.0,63791451.0,,0.0,0.0,0.0,32394911.0,67308271.6,0.0,67308271.6,32394911.0,0.0
141949784.833333,155724002.666667,169215726.0,169215726.0,166259123.833333,155673485.166667,140030593.333333,158956569.5,141949784.833333,166259123.833333,141949784.833333,158956569.5,155673485.166667
,3813334.0,7701356.0,,4312219.5,3267024.4,,4440096.16666667,,4312219.5,5083903.0,4440096.16666667,3267024.4
44905523.8333333,57145333.5,63143090.5,63143090.5,57719248.3333333,53255708.1666667,42887335.1666667,48789154.3333333,44905523.8333333,57719248.3333333,44905523.8333333,48789154.3333333,53255708.1666667
,,,,,,,,3629279.0,0.0,3629279.0,,
2845285.25,,1982641.33333333,1982641.33333333,0.0,449909.0,6108437.33333333,5160713.0,,0.0,2845285.25,5160713.0,449909.0
90481840.1666667,70331702.6666667,69314414.6666667,69314414.6666667,111847124.166667,60079343.8333333,83406666.8333333,41983622.8333333,90481840.1666667,111847124.166667,90481840.1666667,41983622.8333333,60079343.8333333
0.0,,,,,,,,,,,,
13593891.0,12589658.8333333,14724125.0,14724125.0,,14148311.0,,27953306.3333333,,,13593891.0,27953306.3333333,14148311.0
63084986.3333333,28112072.8333333,42110743.0,42110743.0,64703100.8333333,60248595.5,55772597.0,,63084986.3333333,64703100.8333333,63084986.3333333,24510055.6,60248595.5
28139204.8333333,11742319.0,17971771.0,17971771.0,23965925.3333333,26601448.8333333,27564857.1666667,,28139204.8333333,23965925.3333333,28139204.8333333,0.0,26601448.8333333
1019671840.83333,1084254402.66667,1110607059.66667,1110607059.66667,1204270305.0,1147294839.83333,1050950389.83333,1217998738.33333,1019671840.83333,1204270305.0,1019671840.83333,1217998738.33333,1147294839.83333
14002784.4,6307029.0,16481553.3333333,16481553.3333333,17925105.8333333,9314702.0,16339228.75,9707354.66666667,14002784.4,17925105.8333333,14002784.4,9707354.66666667,
453595035.333333,499218968.0,573353328.5,573353328.5,572810007.833333,505103823.166667,440300329.166667,393458662.166667,453595035.333333,572810007.833333,453595035.333333,393458662.166667,505103823.166667
9108694.0,2010912.75,5194388.66666667,,,,8890937.25,7604291.25,9108694.0,,9108694.0,7604291.25,6201750.0
777728749.833333,1063396188.5,964148470.666667,964148470.666667,1036892021.0,1157417125.66667,672962063.166667,1292795297.83333,777728749.833333,1036892021.0,777728749.833333,1292795297.83333,1157417125.66667
2217601824.5,1707091239.16667,2418556799.0,2418556799.0,1828187847.16667,1898116273.0,2212062844.66667,1421057839.33333,2217601824.5,1828187847.16667,2217601824.5,1421057839.33333,1898116273.0
1428208994.0,1586568993.83333,1663936135.66667,1663936135.66667,1914176748.83333,1555324628.83333,1221880848.5,2604760966.83333,1428208994.0,1914176748.83333,1428208994.0,2604760966.83333,1555324628.83333
13508142.0,14532340.0,15801449.0,15801449.0,21350748.6,18399990.3333333,13527325.4,26636609.75,13508142.0,21350748.6,13508142.0,26636609.75,18399990.3333333
294844628.166667,406583307.666667,464307200.333333,464307200.333333,401098388.666667,429081902.5,300389117.833333,441904831.833333,294844628.166667,401098388.666667,294844628.166667,441904831.833333,429081902.5
85483403.5,77699018.6666667,92046420.1666667,92046420.1666667,94150498.6666667,115369772.833333,75944466.6666667,73035618.6666667,85483403.5,94150498.6666667,85483403.5,73035618.6666667,115369772.833333
2124433317.16667,1747162626.5,2311689430.16667,2311689430.16667,2127876562.83333,1935291522.5,1994327937.33333,1840842772.16667,2124433317.16667,2127876562.83333,2124433317.16667,1840842772.16667,1935291522.5
283767155.833333,284662454.833333,419616916.5,419616916.5,338300279.166667,310639361.5,252638271.5,297810826.833333,283767155.833333,338300279.166667,283767155.833333,297810826.833333,310639361.5
,0.0,,3277301.0,,4927934.0,,10847552.75,,,,10847552.75,
67403866.3333333,61863109.6666667,49725589.6666667,49725589.6666667,73606226.6666667,81349922.5,53772968.3333333,40220208.5,67403866.3333333,73606226.6666667,67403866.3333333,40220208.5,81349922.5
94312669.0,76295935.1666667,85981763.5,85981763.5,97433291.8333333,75200806.0,84590646.1666667,81789954.6666667,94312669.0,97433291.8333333,94312669.0,81789954.6666667,75200806.0
21537278.25,21857497.5,25549038.3333333,25549038.3333333,35321761.5,21251208.3333333,19339287.0,25135439.2,21537278.25,35321761.5,21537278.25,25135439.2,21251208.3333333
,,,,,0.0,,21680304.0,,,,,0.0
1063995234.0,1239091705.33333,1604400128.83333,1604400128.83333,1489218293.0,1407397990.16667,982026025.166667,1553736411.5,1063995234.0,1489218293.0,1063995234.0,1553736411.5,1407397990.16667
238765124.0,294758648.166667,344126133.166667,344126133.166667,279426014.666667,304886108.5,229311802.0,287504829.5,238765124.0,279426014.666667,238765124.0,287504829.5,304886108.5
65851689.3333333,20946325.1666667,25884630.3333333,25884630.3333333,43851329.3333333,36488853.1666667,69343259.8333333,43708986.6666667,65851689.3333333,43851329.3333333,65851689.3333333,43708986.6666667,36488853.1666667
65985134.5,143041802.333333,117814098.333333,117814098.333333,91344298.6666667,98191063.6666667,49553177.3333333,270220111.333333,65985134.5,91344298.6666667,65985134.5,270220111.333333,98191063.6666667
,,,,0.0,,,,,,,,
9643258.6,9446030.6,12077204.5,12077204.5,8347576.2,,8995455.2,10557486.5,9643258.6,8347576.2,9643258.6,10557486.5,5612556.0
2094041035.0,1933627727.5,2203687179.83333,2203687179.83333,2330071178.5,2416805687.83333,2015846009.0,1828274021.0,2094041035.0,2330071178.5,2094041035.0,1828274021.0,2416805687.83333
1264216967.83333,2032646229.0,1738916139.33333,1738916139.33333,1825271126.5,1982341916.5,1110806765.0,2818282815.16667,1264216967.83333,1825271126.5,1264216967.83333,2818282815.16667,1982341916.5
381666313.5,398565035.666667,399278673.666667,399278673.666667,443137787.333333,488790218.166667,345217352.166667,472784252.5,381666313.5,443137787.333333,381666313.5,472784252.5,488790218.166667
326207925.333333,269007903.666667,285120675.333333,285120675.333333,257259692.666667,346767912.333333,279222246.333333,354349475.666667,326207925.333333,257259692.666667,326207925.333333,354349475.666667,346767912.333333
78802673.8333333,53289403.3333333,68479522.5,68479522.5,80773582.5,69994903.0,62445824.3333333,80924299.1666667,78802673.8333333,80773582.5,78802673.8333333,80924299.1666667,69994903.0
74041339.8333333,88610307.3333333,106978684.5,106978684.5,120161185.166667,69608195.0,92515271.5,70635910.8333333,74041339.8333333,120161185.166667,74041339.8333333,70635910.8333333,69608195.0
13163500.0,0.0,,8547300.0,9468050.0,8561133.33333333,9878875.0,5918850.0,13163500.0,9468050.0,13163500.0,5918850.0,8561133.33333333
199969974.666667,,211040052.666667,211040052.666667,247685577.333333,244680874.166667,225061034.166667,149472191.5,199969974.666667,247685577.333333,199969974.666667,149472191.5,244680874.166667
1078620184.16667,1078640706.66667,1158563697.0,1158563697.0,1308645381.16667,1232419970.83333,1042376295.33333,1480467026.0,1078620184.16667,1308645381.16667,1078620184.16667,1480467026.0,1232419970.83333
86246172.5,96079503.0,123976078.333333,123976078.333333,115613991.333333,100067527.333333,81622640.8333333,102018918.166667,86246172.5,115613991.333333,86246172.5,102018918.166667,100067527.333333
462383034.833333,574028700.0,638055951.5,638055951.5,629914443.5,641961341.333333,431066231.833333,622957483.666667,462383034.833333,629914443.5,462383034.833333,622957483.666667,641961341.333333
16386678.1666667,40052362.1666667,41886267.3333333,41886267.3333333,55226427.6666667,32812380.5,32563536.6666667,37427780.0,16386678.1666667,55226427.6666667,16386678.1666667,37427780.0,32812380.5
11245121.6,10766522.1666667,9609551.0,9609551.0,4395072.0,14086807.6,11453651.0,6714074.25,11245121.6,4395072.0,11245121.6,6714074.25,14086807.6
4650025960.0,5370313342.16667,5011519577.83333,5011519577.83333,5034972948.0,5611187047.5,4172873313.16667,6001562769.5,4650025960.0,5034972948.0,4650025960.0,6001562769.5,5611187047.5
1588622402.83333,1575909971.66667,1798522424.33333,1798522424.33333,1905810281.33333,1748771132.83333,1693403772.83333,1619409760.66667,1588622402.83333,1905810281.33333,1588622402.83333,1619409760.66667,1748771132.83333
20272067.0,22164564.3333333,28139270.6666667,28139270.6666667,17683572.0,25042353.1666667,16738609.0,16253626.2,20272067.0,17683572.0,20272067.0,16253626.2,25042353.1666667
21160672.6666667,30066922.8333333,25075120.3333333,25075120.3333333,29509795.5,27273184.5,19464105.5,26310696.8333333,21160672.6666667,29509795.5,21160672.6666667,26310696.8333333,27273184.5
,221361.0,,2890095.0,,0.0,,22214440.0,128712432.0,,128712432.0,22214440.0,0.0
52124197.1666667,56707279.5,58879220.8333333,58879220.8333333,60111608.5,59952541.1666667,61454040.8333333,48186646.0,52124197.1666667,60111608.5,52124197.1666667,48186646.0,59952541.1666667
143392876.5,98997789.8333333,128094423.0,128094423.0,142474948.0,135086043.5,123636587.0,99144444.6666667,143392876.5,142474948.0,143392876.5,99144444.6666667,135086043.5
8957776.5,3966552.0,9039573.0,9039573.0,5255302.0,9661903.5,11069455.0,27786616.0,8957776.5,,8957776.5,27786616.0,9661903.5
70749246.1666667,46234763.0,67249494.0,67249494.0,84918820.6666667,62827837.0,68096393.0,39825808.1666667,70749246.1666667,84918820.6666667,70749246.1666667,39825808.1666667,62827837.0
18174261.5,9097315.83333333,14851466.3333333,14851466.3333333,13737872.1666667,15700004.4,11394833.6666667,,18174261.5,13737872.1666667,18174261.5,10908963.0,
0.0,,1862646.0,1862646.0,,1498320.0,1282044.5,1895874.0,,,,,1498320.0
6044860.75,3827711.25,8314833.5,8314833.5,6357789.0,6882850.4,7614643.0,5630300.83333333,6044860.75,6357789.0,6044860.75,5630300.83333333,6882850.4
3336950257.83333,3738611031.33333,3884242138.83333,3884242138.83333,4161815115.5,3856197253.5,3173711248.66667,4649752639.66667,3336950257.83333,4161815115.5,3336950257.83333,4649752639.66667,3856197253.5
119858390.5,131429613.333333,134690859.666667,134690859.666667,156892747.0,119777380.0,116824293.333333,119497072.333333,119858390.5,156892747.0,119858390.5,119497072.333333,119777380.0
18514097.0,26284384.3333333,21796764.5,21796764.5,27367205.4,25212366.6666667,18199234.1666667,22352043.8,18514097.0,27367205.4,18514097.0,22352043.8,25212366.6666667
1443211547.83333,2333626180.5,1760677252.5,1760677252.5,1320864651.33333,1542031798.33333,1570013970.16667,2512233547.5,1443211547.83333,1320864651.33333,1443211547.83333,2512233547.5,1542031798.33333
11299160.0,0.0,,,,,,8632920.0,,11520149.0,11299160.0,8632920.0,0.0
779777558.333333,809138817.833333,970915497.333333,970915497.333333,993924292.5,878725411.166667,740624652.833333,943542834.0,779777558.333333,993924292.5,779777558.333333,943542834.0,878725411.166667
861890320.5,1058234081.33333,1249712161.83333,1249712161.83333,1192300468.16667,1120427168.66667,889714494.0,1147431925.0,861890320.5,1192300468.16667,861890320.5,1147431925.0,1120427168.66667
145086020.666667,141450182.166667,168315672.5,168315672.5,154773872.666667,124837881.833333,117065205.166667,294909730.0,145086020.666667,154773872.666667,145086020.666667,294909730.0,124837881.833333
41828259.3333333,30307147.6666667,49521134.1666667,49521134.1666667,44614709.6666667,44438537.0,37404981.1666667,51191504.6666667,41828259.3333333,44614709.6666667,41828259.3333333,51191504.6666667,44438537.0
4950990.0,6227310.33333333,56290583.5,56290583.5,,9823456.0,6600661.0,4717261.25,4950990.0,3863992.0,,4717261.25,9823456.0
44479925.5,4862066.0,,,28617973.2,0.0,2644220.25,,44479925.5,28617973.2,44479925.5,2197855.0,0.0
22577329.6,16472401.6666667,20704878.8333333,20704878.8333333,18981309.2,18241692.0,18939876.25,30855714.6666667,22577329.6,18981309.2,22577329.6,30855714.6666667,18241692.0
7967129.0,8491729.5,14811466.5,14811466.5,101095134.2,13160148.25,7734758.5,15820656.8,7967129.0,,7967129.0,15820656.8,13160148.25
81491803.3333333,102447995.833333,108121784.0,108121784.0,89769464.8333333,70320779.5,75258349.3333333,76431721.8333333,81491803.3333333,89769464.8333333,81491803.3333333,76431721.8333333,70320779.5
3677434.0,,,,,11681326.0,8137891.5,6323744.4,3677434.0,,3677434.0,6323744.4,11681326.0
326000754.5,290349334.166667,328640006.0,328640006.0,322627423.666667,305478653.5,294237681.5,287347030.833333,326000754.5,322627423.666667,326000754.5,287347030.833333,305478653.5
6691244.0,8247515.0,14053057.75,14053057.75,,10080309.6666667,15204690.0,9229175.4,6691244.0,0.0,6691244.0,9229175.4,10080309.6666667
76206737.6666667,,86211219.5,86211219.5,77332052.1666667,31011264.5,102699774.333333,63638579.8333333,76206737.6666667,77332052.1666667,76206737.6666667,63638579.8333333,31011264.5
3699811.0,3315889.0,0.0,0.0,0.0,0.0,,0.0,,,3699811.0,,0.0
129320000.0,261213333.333333,185225000.0,185225000.0,206936666.666667,176673333.333333,124453333.333333,222821666.666667,129320000.0,206936666.666667,129320000.0,222821666.666667,176673333.333333
1071022322.83333,785629535.0,1096918404.5,1096918404.5,1135434244.33333,1043725184.0,974435925.5,760290067.5,1071022322.83333,1135434244.33333,1071022322.83333,760290067.5,1043725184.0
73505918.3333333,25820967.5,34126750.3333333,34126750.3333333,52495607.0,29871173.8333333,78693939.1666667,41856987.0,73505918.3333333,52495607.0,73505918.3333333,41856987.0,29871173.8333333
133066552.166667,177674427.166667,131933136.5,131933136.5,190726344.833333,175062629.5,127262253.666667,142782368.0,133066552.166667,190726344.833333,133066552.166667,142782368.0,175062629.5
450172904.5,275219925.166667,428293027.5,428293027.5,474839583.5,415704935.333333,443470635.166667,166790181.666667,450172904.5,474839583.5,450172904.5,166790181.666667,415704935.333333
17936527.1666667,20097268.3333333,22484049.5,22484049.5,22691962.8333333,18937139.3333333,17815357.2,16556319.8333333,17936527.1666667,22691962.8333333,17936527.1666667,16556319.8333333,18937139.3333333
28951359.0,22725457.6666667,33389398.0,33389398.0,26730487.3333333,27728121.0,24231691.3333333,42889078.5,28951359.0,26730487.3333333,28951359.0,42889078.5,27728121.0
13164841.0,,0.0,0.0,,,0.0,,13164841.0,0.0,13164841.0,,
55422666.0,28612948.3333333,35248252.3333333,35248252.3333333,31749260.0,30053535.1666667,25626827.6666667,37497783.1666667,55422666.0,,55422666.0,37497783.1666667,30053535.1666667
47854036.0,37371863.0,65997621.0,65997621.0,54734355.0,58747860.8333333,48529109.3333333,51588425.8333333,47854036.0,54734355.0,47854036.0,51588425.8333333,58747860.8333333
