VHL_ligand_1,Nutlin-3,Serdemetan,VH298
4.8334386238512,1693.23427768998,5.5007287118919,955.91471314013
294.971358916416,8.651397400702,5430.6349659615,6582.69556018588
234.647831920095,,,
,,7532.89099372672,
0.0330209610473,9224.52234026252,673.922333696451,4790.88817025712
295.25543065071,,,
20.4755525642632,795.76495651412,,65.5648873109119
175.951640050599,2652.54489237423,753.992633921441,140.376250385075
9990.96202813828,52.4713948343087,,1021.11007782208
514.874089198531,182.047403211839,3673.9128150060096,255.306564167303
,9.0245374904045,720.628324781606,54.3377814999573
637.147733058352,,21.303785510904,3514.04696747794
1.7635315840278,,1.4048479036237,353.258572898152
317.820018978747,2970.20424142276,3209.86985009991,341.223003072215
465.026912057027,278.033511873215,206.589982278986,312.098701301288
,45.9517207481724,17.267669829258,27.0791132260951
37.9856323674892,143.933042882415,83.1624007453311,3.2964380533073
287.593201081382,,,4.925345305268
5.8530718424802,1955.8534498598,1080.83432065766,1585.50553894983
,615.126161961347,2414.31412555789,4.381062663426
,,,
28.8629699219527,0.8345536906281,76.1928339948514,4200.78978284805
4431.26111809476,50.7039670398997,504.600312378002,28.3743769002637
,,,
0.0341705904545,41.9721872720445,,14.3827418121995
483.03973545723,6381.009750799911,1956.18018831387,7.3308976903668
0.8100276817384,8473.51193935403,2846.94593892204,3340.43091713479
,,,
,,,
282.534203598419,1340.65569824026,37.1958151821587,586.995980241709
32.3881595367698,230.911689437609,9245.708224414899,
28.0217101477477,,6027.43685902472,15.0695843529585
,4.925345305268,195.006179346295,
659.425277317128,39.649621548491,1585.02053014929,4001.0398184285696
,,391.785948967902,1359.83430513713
442.275356236944,0.4816754378663,612.18608987164,28.848182646653
3.4019017057323,19.0861778138235,522.993307241935,56.8388818303256
4048.73060688185,43.541786736747,4.266715111663,6492.45557056344
521.475468719194,323.257219030936,5273.40740592712,335.369965284771
692.408317467494,2.099991593805,230.240370384602,2331.19233910231
28.6371146879204,,10.1696388387487,
702.460945041872,,234.647831920095,
433.521055094164,67.6007698057341,,266.861373453353
493.168600749808,6760.38143969883,,11.8445400917532
479.091228340194,476.693822638132,719.628417111228,95.1212508632755
,48.4880193319368,4135.66115332049,
388.169961253907,3.3220460806014,109.854466265437,
,,,
639.4378768212,238.586317778314,1550.58018908527,7576.92893195445
2573.4006034818,1.8162668249029,0.8346781911026,1443.76814476885
11.7654682496147,7.0990765029981,2563.10516750922,13.2476082040714
,,,
776.032993291565,148.051179227347,2253.37456305914,
,0.0169329890161,525.569817309006,355.675336982586
,34.0661394615223,5578.52971250123,220.163362718162
1626.06366379569,0.0325854031365,,856.309278982387
447.866442603595,,115.089865429513,77.8385352383415
6994.84852575433,8413.013430117151,,
7.3942632334392,362.267553198852,,1876.28944343046
171.684534134654,3.1482479879546,525.569817309006,8136.092907676751
217.947071513892,94.0740575294551,7481.786783531501,391.210090517964
17.5913034337709,,1683.22579566209,
330.666297592824,26.1966561392188,,713.386879877371
,1209.12250722814,1524.94904743988,6875.16556024352
,,,3610.50726921584
0.751600089259,493.817851887744,234.647831920095,
,,,
259.87166915723,652.261099362268,311.504456657841,130.209686581183
682.832386244985,911.333795662702,,1.4904918550233
878.57506460646,4424.26997629404,775.616148190098,13.8725170019791
6.7946286060026,0.2560128383307,993.945610105992,18.1003604874198
5430.91017117768,314.328431466039,7.8269927325892,18.4345732912422
1801.15794009499,335.943590797182,1658.76559448412,31.7164493899311
1022.10123885671,100.655669181534,,8620.29950606561
9216.84886363885,829.782559025091,719.834334312747,
3.3175605282307,35.4306074567877,233.76349080056,7082.12977741439
4022.63431727542,2283.830150217,,172.360017107054
,,34.7230573472169,
