(+)-JQ-1,Bromosporine,Molibresib,Apabetalone
,,411.470413503861,
1009.20699974745,166.460903533,1609.98652554232,649.512226823891
4.0963978126411,,,234.647831920095
,,,
9471.1678070051,,107.40339086517,
,7532.89099372672,,525.569817309006
,101.933562973101,4265.83717134816,91.6454853822136
9385.6253379866,,0.354613972003,
215.824302785168,,110.919278026007,
62.3230554674175,,14.8301210096857,900.801718891993
34.8002748042513,2954.23724680897,28.1802285026681,745.507198085312
1144.57314074864,1.3566304533807,4129.7692930902895,8.6825111301225
443.791390280084,1168.90802040453,366.237241697959,
1080.90823436872,711.199683076389,,633.157520185424
570.292517165365,0.083038563065,9.7296773021217,
,481.707222188371,,10.4605936987512
336.160336902798,2.055060234034,74.1391705585059,
525.569817309006,706.788026102035,,
428.504063990984,1731.70217563421,106.982947800568,795.215647990749
4468.91372503611,,143.672636381804,
,,,
2408.68604182105,1853.71235843507,2434.02608727166,933.679900737496
703.722971785086,,0.8316299933051,
,,,
12.4125888391955,,,
4.141825320572,2767.460073603,2728.63293533066,0.0162582394083
918.42783782917,1047.95542151789,7.3604662060829,1641.16277923365
,,,525.569817309006
94.776193292563,,,
2.0445648645726,,,76.019585223696
,,681.33226477312,
2061.59522093563,2322.38025509805,345.075801463099,0.5081912348019
,,,681.024514408491
3512.70564115631,,52.0053124031219,
1282.60771548452,0.0382772369762,69.4115354134589,
356.732513183395,949.669697526484,870.016567629725,621.994825343829
,1.5789487444399,0.2545780127279,15.6186651198281
498.551590864665,,440.016148071075,1582.25566802488
,528.655912634887,240.3714533149,879.79902427864
2818.8565049919,702.955917637611,2557.9081571731,711.692230588151
651.149256379424,234.647831920095,,
,2.4137746961148,,
1250.68911026086,,3.487990318508,
5.3549947328104,,1060.79224670057,
428.058836439723,1354.43538608106,85.9274815161333,526.633139316851
345.982029605371,83.5558601133681,37.516371927516,
319.067395974465,,21.8542220281615,347.096769019425
234.647831920095,,,
39.6791326003092,,45.3580431649095,40.9123011889325
4335.465366463591,198.385962465619,,83.3061649094977
141.653092021767,308.913253119387,14.0407266431603,293.874884424484
,,525.569817309006,
,153.725673160369,77.8934077668744,808.752414211516
48.4760443414257,18.7921641498492,218.751522566365,747.33070568778
13.182932774995,6.3165850198842,3.2316841627212,76.7581342767288
8143.88812150659,7532.89099372672,1.3270951874502,
0.0112142430407,,900.79002493786,
657.180849007904,10.1585169901204,,1.1483095838997
1442.21079968171,,1.6008212381218,33.5909563255713
4.3429112192102,6.7262885136153,4.925345305268,673.06878684515
2478.39651916935,511.273443505053,4.2688933421884,33.0207495947624
336.176797202795,,288.08942951217,388.491178056254
,,,458.06527862405
186.243098109246,8756.087710991778,137.90731401399,52.3534336830458
522.077141271057,2663.99883590542,,2.1608348468408
,,,
,,,
0.2203121428653,,41.0561949318791,930.858303748794
,,4.925345305268,
,5.595659926641,186.435771601542,
1782.10872315193,2304.62756989529,4.3059820853448,5545.11729434001
2.8862646342958,118.73947551156,296.970841599554,348.230382030675
86.2463807290881,2.3579091810887,,
29.3775568664474,5325.917036790271,273.146955798635,327.327373716719
65.8659118503107,,1114.30607257086,
,415.24994641999,380.012696202692,253.418738671178
995.356632120216,124.102383693963,307.390593381142,937.830179308294
,0.628513209497,,
,,234.647831920095,
,1911.63489024442,7.0117690257446,
4.925345305268,234.647831920095,,
122.932498352491,,,
556.715014425399,3.3031238813675,2.8714349257577,4385.730528776209
,497.883415642751,494.077734360702,3616.58900653782
467.791653927897,,,
111.249203992077,,82.5700998005639,
242.357451349575,2934.93892430562,317.332450066618,727.918131826609
744.048859458901,,,178.540149373806
2.1074898338104,814.728660496399,276.501942914993,474.134707395943
8812.85889737384,3.7537101126058,,1.8002785909277
833.825104242639,,21.7644606146065,
0.2905744900795,,,
,,32.4590905850628,
,,,
397.535806717248,8.4881034632699,925.388252725978,757.074825213344
3154.69215844656,,,0.0766896614042
,,,
251.531824556268,27.6914724454885,525.569817309006,6.4861625841629
43.3684208422105,18.3410616197671,3227.59142028672,7707.21313600367
2512.89562119282,981.782744426736,779.697533237418,2481.3287663427
2338.03987087835,2548.15442048241,3.1373511633916,
,78.1393681625163,33.1627768523072,361.303720572905
42.5060614501665,,3.2243513590706,626.541822211367
,2.9135645081068,1.1152456017542,668.94166530794
604.476819213094,,3.1219532644315,1.3428662224038
228.452786259235,91.6852512029979,34.4691898287263,
3.1999682221532,,32.0551599315532,678.33013675187
234.534940703823,5455.83860823182,2454.40131642124,3513.99709635997
284.673025961774,1184.78897255209,0.2655287269402,722.962990177012
287.856711429518,5.3802719463833,285.657544668183,
465.952154356768,2.8115601128862,1289.58620564147,
1596.23265228581,,3.0643552639297,
5.9391673717172,,,734.160927619734
349.528318651781,0.0582335922888,323.541880368966,1982.70752700414
1283.30423258109,1137.15228658898,1741.08691154296,0.6314847263312
1647.95119656486,1097.41736102272,4661.07665202163,137.368783789552
,,,0.0320182523911
120.854438359147,11.4494102199449,1115.23205167166,345.23512043748
116.088842410646,292.270928103639,3.9283804740157,6550.63354759799
603.418092225399,17.1220825883494,148.599901741914,5106.94517010424
1323.44079486655,,1.8570408537252,11.4842005189984
,,,
,,2301.61788175841,
363.839351231105,,0.3174606987305,3274.66988035276
864.320007998158,781.577039391632,5321.28676574986,
178.690594943514,790.908052181152,1106.62697662727,7102.61654608399
343.572754492109,291.863577990036,25.6475218815635,8465.76897985148
409.838572963062,0.7231467245141,781.2560835234,889.150532319028
2277.97608107049,1236.61707866903,40.7390497782938,
3776.09114026984,,87.510287094895,397.651713621013
322.923729633216,2958.96812426134,222.35293652319,
0.042144529359,,88.8766328148074,
1684.05115004242,,7642.186276611821,
131.874389175785,138.868858691166,311.744974112569,
12.0697379964279,447.492089104674,160.552745940395,
427.907703505762,16.9827080360059,118.211441596833,13.1227572077464
876.875450164017,71.0287394755667,29.0978368469783,
0.063406986025,4.484312292801,30.8088706107403,720.717289029105
3170.06568558622,2.2600978179208,91.2755960670619,
12.9036823412021,2.8613886159872,255.345785238597,0.5282225392752
291.444366136319,,1.3086938432948,996.787585006583
1367.86604016098,,,
29.4794275110847,1596.90815232454,,
692.811805454932,1022.2639838361,5451.36133617213,88.9870735649414
306.063304867777,1468.84292622507,3376.98250915795,49.3564481444851
402.061677604155,1202.8204113627,54.1624377846555,
,,8246.019741780941,
333.597683766689,10.1212672467818,171.002906144899,447.88942662134
9.4971882765047,33.0942070771169,479.519396962578,1725.32137543417
316.158087936645,1.133551896617,1170.71656684418,0.3751605843591
,124.606267615392,389.974363820792,2852.81175832112
315.772913871843,,0.5883071200412,
0.1134993712781,525.569817309006,7532.89099372672,
189.916085565998,15.2365811716941,1178.47301015573,
11.8543887860401,,41.1187692845998,
141.647306195636,,3480.22139188637,4.3362559867056
1281.91789819984,321.397818029637,,
44.6449801995742,0.4087444004845,,
934.520363004853,,,
538.484565262574,771.012287398569,3.6467715893704,642.223318122247
324.686896309199,8516.11419844284,,0.0129903616677
923.115634495543,26.0985708775932,2355.41936803134,784.608933285534
0.8517060576906,,,
0.0279208581459,,115.030290369376,
135.539064290966,,708.771009597771,889.86110590227
275.2095617403,323.222532756074,34.0406068079199,3.5403489727897
2456.83491952021,,,4.5013545868039
0.5378463739717,,100.358211630838,
602.620090549587,4202.673416338111,2047.79086240465,
4.6771813093548,1585.79384909262,3616.26182542504,23.9475361025831
304.886442792073,32.0970240658394,11.2369510388194,64.996141805689
2.6939650227775,5181.67034160816,1501.44046766499,166.089318505085
1191.72786693958,7.1035228150874,52.5403769945877,5637.258607101489
2453.00966009161,1187.20368754762,238.169653027595,51.4402932353444
738.164912582534,,,
17.032775228182,,6.3349365912188,2.5189106612721
625.887357043023,1223.85867677348,500.186299003794,
2.218589646991,45.9355117867132,264.582080334627,312.089603545319
120.871986611024,28.7598859666791,1234.43063833127,1197.41028680268
,1292.35424352534,3653.32846658656,
13.2905149230451,877.157760072905,629.652149350308,23.0891963220076
4508.15368602924,675.05651426879,,
78.5632584156638,464.569597142612,1.2991938730179,964.864226694408
2173.49448668459,1539.84912803182,7435.9860479093695,13.8111458908957
,,,
,,,
,,,
882.377136616804,3923.9586307974896,12.1384834103067,
2982.25482426142,1201.15394771344,6038.14275682944,761.470907195464
8.5611353722599,,2262.34091851735,543.726043999207
85.860552858676,65.6120142434941,359.869048147164,1572.96183525933
2926.44497196395,,30.2972787177788,
2031.66163664679,4284.04333409908,313.881704256704,7.1296779466754
1473.19775416258,,0.1433151677045,
274.26706243781,,22.9405302314489,276.305117384746
6700.42391539142,,525.569817309006,
275.888561655868,161.585915013149,2110.30885516988,12.1349656503976
789.381917647174,,79.0327827363459,885.227153287375
2751.36250988499,160.177527101096,267.984975730884,1.6219573921509
2146.6634945857,,1753.50567875964,
,7532.89099372672,,4.925345305268
0.1134993712781,,,
3.4169772329714,1986.66966604387,119.624333563975,
494.241912872782,,0.4513381007213,
471.179155448089,3865.1393775781,214.219997536411,612.885858441683
55.3145142285351,,7.2874757122854,
7338.415243835289,4415.23319894655,13.0552624373148,883.038310219671
0.0406128783,43.4057660022833,198.200157220347,
406.139559514118,644.501944839011,335.090403069059,1430.81645447552
131.009250057457,,1051.12737347122,1693.00284909331
,,,1.1758628692801
20.8747126770118,,335.16570474138,7290.312255761711
58.5898906009514,,,
21.9875676543796,242.851307501676,1.4173884274018,13.4322789762084
1.6891739041416,,,
,2827.00915245165,368.553490393963,316.914792899725
525.569817309006,,,
140.694599445813,,22.5193728833031,1577.31746201643
12.6578506757353,6079.400728598591,17.23360770446,
4762.9046839804305,20.5760514925114,687.392243289188,12.5337861242188
274.055921920234,17.4125107078664,7.3058911297851,88.177518629066
155.293963528568,3241.82938554614,466.316717878997,
153.033733932486,64.4083415718064,276.871199416459,
421.903005204295,,886.755774485161,638.065210731374
10.6428538714766,2588.57244910675,499.45366665576,7473.95036729092
52.4261019616211,302.898235697482,3.567904152588,602.428810716326
69.1732577573521,0.6966341825937,,
414.942396613377,,66.5698425076328,
2.9674587752061,,4230.2271715344,
,,398.594404756582,
,680.735763985705,494.267317514212,699.430601196647
,,64.4420434646419,
13.1164613466956,1741.16703961251,0.0422757693954,0.157558442409
26.6185486862534,799.523542112035,4684.16421522834,1251.48750635806
234.647831920095,2.2887584512153,1.2450541846812,260.935766483908
286.385270386238,680.850595240992,3.2710930436463,
1.5149466380191,,,
,0.1134993712781,,234.647831920095
75.3603988343535,2242.40694646576,354.591353551948,
3.2322116355358,0.5247967420365,32.7235325262528,
,6156.941266950649,,275.394750037186
397.52694151368,1903.29449389973,20.4667468429833,650.050950118612
309.790644012639,72.5681565787636,668.687046348798,707.659209845469
44.0048208886729,7323.14430792396,244.31431557955,32.4147120489233
278.057494927088,1231.14133461796,162.737648118509,825.462955535063
2.9078917429299,3063.21235452423,839.729383630732,3161.01103229755
494.32200587589,2139.50973357182,1685.95293072227,
1883.53417166656,347.031530221453,315.231708326189,22.9706395322607
285.838086280676,,300.550903361732,
97.6337583838105,81.0869409167125,13.5152100908556,4.7384078281843
223.984831548515,6.5937370984232,801.689065328968,0.0103123290962
3.2084930218453,,3.1990731391336,3.3460555007219
490.506408413112,58.7421713196638,1150.85240942337,751.653884750803
3.5810502687771,16.195140090031,6.57431159246,937.114984619028
234.647831920095,3.2389154453917,,
1277.95475059339,731.898396350556,1262.51669705345,281.3063744535
209.950960151651,,362.508550624135,494.085627085964
1236.44707118887,158.665203247001,394.406382128848,
,,4.3106175533571,
158.515704840593,17.3321338098813,7237.40542660929,14.0474890150667
152.421222857644,544.528577487894,322.716829557503,
8539.14888405773,,,98.3891572252606
72.5460148722602,1777.47297531064,7.9007850837627,181.269734570536
,,,
