GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
666.865291752493,2.3363440143294,7765.284336242461,22.4058584259657,691.050078131861,711.784472345789,
0.2467870960077,,5462.2046088386,3.0700098562007,173.462421539711,43.7056669173536,3567.51492386359
,,,,,,
,234.647831920095,,,,,
0.8200549263518,684.975508760341,3.6345225105755,1.0904261469374,,,
,,7532.89099372672,860.967149993859,0.1134993712781,,
509.36767533199,1584.67940382947,,111.914952864919,281.756102937537,962.431630657399,572.108208365085
14.8002733330332,5.4008399011729,2179.01248843179,66.0445398471637,,,
2083.45039927315,503.401797302152,17.6484701194402,3141.91766254926,,,
123.862536971152,3805.5211135721106,354.281361129341,609.724642940993,,,1048.68755350131
,1.849903831081,680.821422817014,5526.91252172148,1007.72225985809,12.2924022209379,5.3689751129261
36.7806972635368,1900.30506257645,2503.77300635056,4.0773037780868,1.2869993095502,1699.60476128139,1487.99175379109
7.4021004344797,3.5675037509022,35.0081270447899,0.3288546317534,641.037336297866,,301.278869276364
5.0234405753238,,,399.444219913311,3823.9435836917696,3.3714000428629,
2817.93459852484,928.692630152769,232.849346394751,63.2912012484321,13.3376864080091,22.4796461119484,12.8037643254155
168.258323516545,683.866145937191,,237.08813894397,,2.7231262040663,154.216503135053
4267.62557343184,31.2746076237875,9204.44806295538,295.250807249393,0.5949279201308,27.8709178075415,555.287463756256
,,,7532.89099372672,4266.064415556049,0.2630588192757,1345.10745989297
3.3246404347405,43.0918030000027,1232.15411392863,2.3709663199974,608.019808581299,275.840168345378,97.108112158082
3239.85836638645,1498.04697075426,3970.0722677331,,0.6122521803091,3367.54101448672,780.418713717993
,525.569817309006,,,,,
365.667888700313,938.577981379513,120.987824446871,17.8249473634359,,30.6885043058248,
6376.6565546680495,48.2814049350238,1.9660851301776,,,112.36012035402,
,,525.569817309006,7532.89099372672,1023.4509147863,,495.352539522772
3.7765577531567,3.2875634248509,576.468130827561,139.496911845905,,1874.50773267774,4649.55479322547
,10.7611829645229,34.5682910775504,889.349552335089,,0.0451697429845,
30.7975374656844,9.4491169268495,1071.47828512999,3.4069208613766,951.050554509908,100.093756730541,3269.45879058749
12.0384999158732,,44.085778521381,,,,
287.686539953219,,,,,0.1134993712781,234.647831920095
28.861777365581,4913.596335540449,1411.2607114388,3.034525026771,3.3795176015583,4355.56816758118,15.4166005099164
5144.0895234854,,1.880660861575,,462.781866661521,169.661717113554,7532.89099372672
45.1782227708094,6316.76150256634,4.2209166748682,417.637918170546,5464.02114993356,108.726181667677,9.1721774563378
,688.25819495421,,,,,17.8350691705908
2.5182820213724,1408.41954954553,3.3865780378656,781.620767780474,9.1449994396526,107.760835652413,216.050673391599
,408.07903157985,,283.352295373601,,,1070.23323053543
1447.81476883673,560.807020584956,4005.2956150562095,,7977.00933731184,1727.225508,6545.055982234089
48.398126326768,,1212.68570647949,40.9966109712724,,0.8770713032425,1177.89122625086
17.3957954379387,0.352672515765,489.014653332475,38.6133962258856,,298.183546318869,127.47173814116
,14.2166585261105,35.8461633515025,3.1120283676975,463.873996005261,933.866166315887,3039.18123515501
80.9693887068592,3.4186245397028,3.5604305767065,4634.108957958951,699.74507148533,,
,1.1161991927485,,,0.1134993712781,,4.925345305268
705.931098140278,,2.549367276346,,,710.227712255715,4.925345305268
26.0607171581065,670.110577963604,,2200.52488359744,,,
253.89230450637,0.0188304884562,,697.482788801862,929.136503539331,,35.6473078069328
,0.2924406817721,63.0397667007244,2449.08288989425,,2880.88474784443,
32.9382591948573,7.8740039101961,3.40172481431,9457.22955842107,,,
141.843060159385,319.699078041105,334.016800308565,118.241831498738,465.482998804872,983.112439518687,
,,0.1134993712781,7532.89099372672,,,7532.89099372672
344.988104518249,32.2904820466986,,682.662052766508,,32.7358460690514,184.25178891637
6943.31341681201,10.8177675401729,5088.84265724296,,4381.85630340037,,4581.7793157884
1130.72605393023,21.7679235515805,129.292678702656,3433.59533696511,2413.83198749196,,189.068093041983
,7532.89099372672,,,234.647831920095,,
479.913989943457,118.393933588933,1894.80645531907,777.115222617723,559.433761540867,335.633729219967,2254.78637254264
,,0.0202388303867,,,,234.647831920095
2244.280221632,7.4836993818112,37.8385389116292,1526.44197131189,1958.27267969333,0.1000186216681,1153.48539689035
4.1417740294302,,,4.925345305268,,,7532.89099372672
4560.93641995096,,3.6619587891591,2.4944242545287,1052.02022640775,,37.5144863030235
0.3492296158054,289.257599210549,,463.940809001563,247.545515994593,297.334417071335,
15.2868287817511,667.084295372832,,9.9567792574146,,99.4901063052902,307.47522099932
498.215114570191,,4685.5946102978,0.1134993712781,,4.2512547035053,
11.9060612852672,4956.9986103428,1836.08823824366,1373.55880772221,2.2035353885783,927.869992586501,1376.22248250779
,741.241079537552,286.142771437568,1087.91599201559,11.67286722212,0.1463144606037,1033.53976823654
1387.33444645149,,36.0077052155873,1728.57012188162,5.500032489774,15.916367228012,4.925345305268
13.6947394083947,1414.31626460222,2.3701073266894,5021.03617013402,0.090556725823,1685.99181030425,
170.207946354171,,,,387.120413560087,,4138.89318034334
292.754165178096,7532.89099372672,,,,234.647831920095,
,,,,,,
570.516513231031,4.3385210870497,,,9337.86649047873,0.1134993712781,31.370345171455
,,,0.1134993712781,,,525.569817309006
4065.0494203681105,59.0304360157277,249.023795654901,2.8154326811791,1.8331412333166,,2300.4824620303
156.750423184074,159.583810016634,906.231732272032,,,4524.31407295298,217.835841833332
28.0134749090259,3.0039356752844,786.284593288171,,81.3907516847845,3.0693291864088,28.465776386877
68.455102501041,327.520661660191,82.6733379335098,32.0054038568416,,,294.149747441253
4331.332140648769,7532.89099372672,0.6476511616618,6096.89071446576,40.9132986657218,2.1223158964878,
41.5221576338691,693.54903320525,,,,4179.89037038241,
13.743058750487,367.18549638052,,,299.620275620208,154.606525939453,1.022473792071
296.202562962101,1273.04680222457,2320.23010820506,292.110910670975,,2.7771460127281,3.0228533617637
,3315.55399976616,,83.2864540703889,0.1657270646477,,0.1734667034226
,,234.647831920095,4.925345305268,,21.584856219766,
26.0513654861956,2.6366800226051,35.2446580799254,59.9589676929863,734.904688762009,,
1.5255942571853,3.8906754410679,169.762469450566,,,290.932040380051,
11.1950691307402,,4.4993359659709,,22.0017759446727,4486.69908601762,699.932852330744
,1.2651153431482,4563.815245621289,31.4318359235596,,27.6006633677489,345.810579336609
268.578348862328,,371.922094520235,2.6364894868194,0.9350614619321,349.568372483629,
,,,,,,
567.877921174806,660.753448278991,8.7949206346952,1326.36429014281,,1147.27451448039,35.2331350179613
3751.91890625318,364.077509761922,3.334480575504,8213.5861524673,2756.47163584556,609.575783564505,219.511905319748
