Paclitaxel,CHM-1,Nocodazole,Colchicine,Vincristine
224666342.166667,155843984.166667,276093099.333333,228166505.666667,221065426.333333
13946267.3333333,0.0,0.0,0.0,6306182.6
321074916.833333,294363369.5,363466555.333333,374145488.0,276900151.666667
93401881.5,81761674.3333333,86393634.8333333,89417037.1666667,70137848.3333333
102369888.166667,100962854.833333,121282804.0,109889944.333333,91440479.5
15647197.1666667,14061186.6666667,16130334.2,12611509.3333333,18106659.6666667
609815628.0,397012258.666667,527663864.833333,568546308.5,548406978.833333
825421710.833333,618925338.833333,836756535.333333,869267717.0,720047662.0
2709177244.16667,3063830496.16667,3611232201.5,2970719150.0,2236802172.83333
37532454.1666667,33355180.25,37577492.1666667,40393357.1666667,60081878.1666667
8727827.33333333,7204658.0,6835092.0,6885547.0,7768168.5
,,,,
83235971.3333333,79793425.6666667,103745443.666667,92188535.5,75738833.1666667
2167229024.83333,2212206376.66667,2330166913.83333,2666896074.83333,2013285147.5
24604185.2,18420741.75,23759337.5,25863373.25,21271392.25
646592196.666667,737186007.333333,784320032.5,749276897.166667,504124609.333333
4028355.0,9528797.0,5426783.66666667,7105403.5,4867679.33333333
529812628.5,442124766.166667,584399215.833333,582196597.166667,478764689.166667
7589982.5,,7155710.33333333,13159324.0,7128213.4
1247132460.0,950009798.833333,1272264365.16667,1227160844.33333,1181983465.0
2466821.75,,,0.0,8280516.0
7456995.5,8883666.83333333,10150776.6666667,11221172.6666667,5668999.8
24523541.0,23563139.8333333,31414054.6666667,28373661.1666667,29065260.0
23116197.6666667,17508984.5,21534623.8,26610546.0,18823600.3333333
10726550.0,7421603.8,9564172.0,10317362.2,8648004.5
20323025.1666667,24677994.8,22265857.1666667,17914364.0,20307355.3333333
20332518.1666667,17119172.5,29264005.6,84440242.4,29579557.3333333
4235620.0,16463807.0,,,398097152.0
50375864.8333333,57410413.5,72152790.3333333,56244263.1666667,43639845.1666667
31534540.6666667,27634690.8333333,39221415.1666667,42216553.1666667,30854965.1666667
,,,6343252.0,
86998056.1666667,65822024.8333333,101415415.0,83013657.0,93683904.8333333
157169634.666667,149162957.5,124242946.5,158170204.5,120971052.166667
127490409.5,120336404.333333,136601824.166667,130726646.833333,121549913.333333
,5766076.5,,5270462.66666667,0.0
3672013.5,7581980.0,0.0,4302352.75,
198333431.5,154274071.5,177170123.833333,211927546.166667,160329759.333333
2785070369.16667,2865463893.33333,2977988551.33333,2709387065.66667,2544305402.83333
663166932.666667,561850844.166667,765746997.166667,809298553.5,573688884.166667
908281512.333333,711099136.0,861698971.166667,965707964.333333,854440846.5
632848176.833333,444049089.166667,565121935.666667,589456722.5,510447259.5
76037918.0,59250897.1666667,66389771.6666667,74878659.5,74860934.3333333
,,,,0.0
11426414.0,11537259.6666667,12949650.6666667,10027793.3333333,12300923.0
74031687.3333333,100943037.5,98028536.3333333,104115040.0,70033730.3333333
62564148.5,57519802.1666667,66702137.5,65008583.8333333,46944965.6666667
85504796.5,73855867.8333333,82002742.1666667,81776837.0,86151516.6666667
189399137.833333,176540396.333333,193822608.0,199536300.333333,168555114.5
11056855.5,10430484.75,20230622.25,9890553.6,8180403.33333333
165770370.166667,161411356.0,199659434.833333,166695729.833333,103949280.833333
,,,,
,9163382.0,0.0,8510907.0,3928663.0
,25775696.5,22745659.5,38037132.1666667,22272526.6
60792037.5,30163278.6666667,69680850.6666667,67214509.3333333,64575715.3333333
418812739.0,428648675.166667,464945635.166667,498711675.0,419961482.166667
