Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,CHDI00465983,CHDI00390576,TMP195,TMP269,LMK235
14124420.0,16386028.25,9599571.2,20589591.0,16386028.25,14862729.1666667,9599571.2,12661894.0,20589591.0,12856147.8333333,9599571.2,14124420.0,16386028.25,14124420.0,14124420.0,16386028.25,14124420.0,12661894.0,14124420.0,9329761.83333333,14124420.0,12856147.8333333,12856147.8333333,14862729.1666667,12856147.8333333,16386028.25,14862729.1666667,16386028.25
425093407.0,,,,608503907.0,0.0,,540178296.0,,,,425093407.0,608503907.0,425093407.0,425093407.0,,425093407.0,,425093407.0,,425093407.0,,0.0,,,608503907.0,0.0,
23074260.3333333,23699097.5,19935155.4,36851051.1666667,23699097.5,12974924.0,19935155.4,19912676.1666667,36851051.1666667,26862504.8333333,19935155.4,23074260.3333333,23699097.5,23074260.3333333,23074260.3333333,23699097.5,23074260.3333333,19912676.1666667,23074260.3333333,19853522.0,23074260.3333333,26862504.8333333,26862504.8333333,12974924.0,26862504.8333333,23699097.5,12974924.0,23699097.5
254623429.333333,261617467.5,214038180.833333,338651562.0,261617467.5,212542347.666667,214038180.833333,248170034.166667,338651562.0,235697296.333333,214038180.833333,254623429.333333,261617467.5,254623429.333333,254623429.333333,261617467.5,254623429.333333,248170034.166667,254623429.333333,214956576.0,254623429.333333,235697296.333333,235697296.333333,212542347.666667,235697296.333333,261617467.5,212542347.666667,261617467.5
386715436.666667,353263592.0,267159869.5,434653415.5,353263592.0,409007142.833333,267159869.5,352721679.833333,434653415.5,282370258.833333,267159869.5,386715436.666667,353263592.0,386715436.666667,386715436.666667,353263592.0,386715436.666667,352721679.833333,386715436.666667,247923063.5,386715436.666667,282370258.833333,282370258.833333,409007142.833333,282370258.833333,353263592.0,409007142.833333,353263592.0
9295369.0,7926957.33333333,,9256178.0,7926957.33333333,4495965.5,7235848.5,,9256178.0,5792338.16666667,7235848.5,9295369.0,7926957.33333333,9295369.0,,7926957.33333333,9295369.0,6838398.0,9295369.0,8055690.4,9295369.0,5792338.16666667,5792338.16666667,4495965.5,5792338.16666667,7926957.33333333,4495965.5,7926957.33333333
15898371.1666667,11976260.6666667,14360983.6666667,11074024.0,11976260.6666667,9216907.33333333,14360983.6666667,11863445.1666667,11074024.0,16985866.8333333,14360983.6666667,15898371.1666667,11976260.6666667,15898371.1666667,15898371.1666667,11976260.6666667,15898371.1666667,11863445.1666667,15898371.1666667,12048518.5,15898371.1666667,16985866.8333333,16985866.8333333,9216907.33333333,16985866.8333333,11976260.6666667,9216907.33333333,11976260.6666667
20352229.3333333,17910126.6666667,17374293.1666667,22543982.8333333,17910126.6666667,13480287.1666667,17374293.1666667,16020893.6666667,22543982.8333333,20103208.0,17374293.1666667,20352229.3333333,17910126.6666667,20352229.3333333,20352229.3333333,17910126.6666667,20352229.3333333,16020893.6666667,20352229.3333333,16024116.6666667,20352229.3333333,20103208.0,20103208.0,13480287.1666667,20103208.0,17910126.6666667,13480287.1666667,17910126.6666667
6289548.0,7129015.75,11402368.0,12708949.3333333,7129015.75,2546923.5,11402368.0,6102722.0,,5531027.33333333,11402368.0,6289548.0,7129015.75,6289548.0,6289548.0,7129015.75,6289548.0,6102722.0,6289548.0,6429787.0,6289548.0,5531027.33333333,5531027.33333333,,5531027.33333333,7129015.75,2546923.5,7129015.75
9100143.0,0.0,,0.0,0.0,4644261.0,0.0,10693457.0,,2065039.5,,9100143.0,0.0,,,,,10693457.0,,7080117.0,9100143.0,,2065039.5,4644261.0,2065039.5,0.0,4644261.0,
,3346378.0,,1469704.0,,1482787.66666667,,2256687.0,1469704.0,9325712.0,0.0,,,0.0,,3346378.0,,,,,,,,1482787.66666667,,3346378.0,1482787.66666667,3346378.0
13660622.0,,10124019.0,,,,10124019.0,3849513.33333333,0.0,3121552.0,10124019.0,13660622.0,,13660622.0,13660622.0,,13660622.0,3849513.33333333,13660622.0,6814897.0,13660622.0,3121552.0,3121552.0,,3121552.0,15949589.0,0.0,15949589.0
99523508.3333333,89341611.3333333,65908210.8333333,106936253.333333,89341611.3333333,71177446.0,65908210.8333333,95195502.6666667,106936253.333333,78923190.5,65908210.8333333,99523508.3333333,89341611.3333333,99523508.3333333,99523508.3333333,89341611.3333333,99523508.3333333,95195502.6666667,99523508.3333333,74027796.5,99523508.3333333,78923190.5,78923190.5,71177446.0,78923190.5,89341611.3333333,71177446.0,89341611.3333333
1400820980.66667,1312649995.33333,1135370959.33333,1481100827.5,1312649995.33333,1169586050.83333,1135370959.33333,1188655730.66667,1481100827.5,1023437385.0,1135370959.33333,1400820980.66667,1312649995.33333,1400820980.66667,1400820980.66667,1312649995.33333,1400820980.66667,1188655730.66667,1400820980.66667,1115088665.83333,1400820980.66667,1023437385.0,1023437385.0,1169586050.83333,1023437385.0,1312649995.33333,1169586050.83333,1312649995.33333
13867601.0,12989948.8333333,12531240.6,12957633.2,12989948.8333333,7419523.33333333,12531240.6,8781659.0,12957633.2,12145096.75,12531240.6,13867601.0,12989948.8333333,13867601.0,13867601.0,12989948.8333333,13867601.0,8781659.0,13867601.0,9233841.16666667,13867601.0,12145096.75,12145096.75,7419523.33333333,12145096.75,12989948.8333333,7419523.33333333,12989948.8333333
74038747.6666667,72068479.1666667,63429060.3333333,83596039.0,72068479.1666667,85039847.6666667,63429060.3333333,66743634.3333333,83596039.0,70171051.8333333,63429060.3333333,74038747.6666667,72068479.1666667,74038747.6666667,74038747.6666667,72068479.1666667,74038747.6666667,66743634.3333333,74038747.6666667,58925584.5,74038747.6666667,70171051.8333333,70171051.8333333,85039847.6666667,70171051.8333333,72068479.1666667,85039847.6666667,72068479.1666667
,,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,
104634327.5,93775661.8333333,59867271.6666667,101632244.166667,93775661.8333333,176767739.333333,59867271.6666667,84049680.6666667,101632244.166667,97607962.0,59867271.6666667,104634327.5,93775661.8333333,104634327.5,104634327.5,93775661.8333333,104634327.5,84049680.6666667,104634327.5,62989714.1666667,104634327.5,97607962.0,97607962.0,176767739.333333,97607962.0,93775661.8333333,176767739.333333,93775661.8333333
132805883.333333,190266273.5,132969308.5,193999844.666667,190266273.5,149369165.833333,132969308.5,110001838.833333,193999844.666667,125333412.833333,132969308.5,132805883.333333,190266273.5,132805883.333333,132805883.333333,190266273.5,132805883.333333,110001838.833333,132805883.333333,114428046.5,132805883.333333,125333412.833333,125333412.833333,149369165.833333,125333412.833333,190266273.5,149369165.833333,190266273.5
30454646.5,37794885.0,43905243.3333333,33185573.0,37794885.0,17915308.8333333,43905243.3333333,33713108.6666667,33185573.0,24460699.8333333,43905243.3333333,30454646.5,37794885.0,30454646.5,30454646.5,37794885.0,30454646.5,33713108.6666667,30454646.5,35884528.1666667,30454646.5,24460699.8333333,24460699.8333333,17915308.8333333,24460699.8333333,37794885.0,17915308.8333333,37794885.0
,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
43515979.0,41800587.6666667,38390240.3333333,52643148.8333333,,47312924.6666667,38390240.3333333,38877690.8333333,52643148.8333333,43593333.8333333,38390240.3333333,43515979.0,41800587.6666667,43515979.0,43515979.0,41800587.6666667,43515979.0,38877690.8333333,43515979.0,36014887.3333333,43515979.0,43593333.8333333,43593333.8333333,47312924.6666667,43593333.8333333,41800587.6666667,47312924.6666667,41800587.6666667
0.0,10244860.6666667,0.0,10083374.0,10244860.6666667,6667262.66666667,0.0,10962751.3333333,10083374.0,17599517.8333333,0.0,0.0,10244860.6666667,0.0,,10244860.6666667,0.0,10962751.3333333,0.0,7861928.0,0.0,17599517.8333333,17599517.8333333,6667262.66666667,17599517.8333333,10244860.6666667,6667262.66666667,10244860.6666667
345116787.5,198755917.166667,186014136.666667,226844138.333333,198755917.166667,448705340.5,186014136.666667,316814139.833333,226844138.333333,562921798.5,186014136.666667,345116787.5,198755917.166667,345116787.5,345116787.5,198755917.166667,345116787.5,316814139.833333,345116787.5,174384613.0,345116787.5,562921798.5,562921798.5,448705340.5,562921798.5,198755917.166667,448705340.5,198755917.166667
4119813.0,,,0.0,,4071932.5,,6275510.0,0.0,5369532.0,0.0,,,,,0.0,4119813.0,,,0.0,4119813.0,5369532.0,5369532.0,4071932.5,5369532.0,,4071932.5,
955357624.166667,980865709.166667,903207519.333333,1146032597.83333,980865709.166667,876441407.833333,903207519.333333,924997614.0,1146032597.83333,802672947.166667,903207519.333333,955357624.166667,980865709.166667,955357624.166667,955357624.166667,980865709.166667,955357624.166667,924997614.0,955357624.166667,858659672.666667,955357624.166667,802672947.166667,802672947.166667,876441407.833333,802672947.166667,,876441407.833333,980865709.166667
7141952.0,8326988.5,,15126462.0,8326988.5,7142287.75,8340205.0,8550021.0,15126462.0,5742615.5,8340205.0,7141952.0,8326988.5,7141952.0,7141952.0,8326988.5,7141952.0,8550021.0,7141952.0,,7141952.0,5742615.5,5742615.5,,5742615.5,8326988.5,7142287.75,
25748604.0,24293542.8333333,15218472.6,27223393.6,24293542.8333333,22070482.8333333,15218472.6,28131231.8333333,27223393.6,29040317.5,15218472.6,25748604.0,24293542.8333333,25748604.0,25748604.0,24293542.8333333,25748604.0,28131231.8333333,25748604.0,10946629.0,25748604.0,29040317.5,29040317.5,22070482.8333333,29040317.5,24293542.8333333,22070482.8333333,24293542.8333333
0.0,,,14909302.0,,27198665.0,0.0,,14909302.0,,,,5796057.0,,,5796057.0,,8861850.0,,,,,6740566.5,27198665.0,6740566.5,,,5796057.0
39442274.0,67483634.4,33633384.3333333,91085118.5,67483634.4,103185588.166667,33633384.3333333,68644907.0,91085118.5,81704401.6666667,33633384.3333333,39442274.0,67483634.4,39442274.0,39442274.0,67483634.4,39442274.0,68644907.0,39442274.0,38206143.2,39442274.0,81704401.6666667,81704401.6666667,103185588.166667,81704401.6666667,67483634.4,103185588.166667,67483634.4
71359322.0,71161041.6666667,64066938.1666667,64529265.8333333,71161041.6666667,58251395.0,64066938.1666667,40256600.1666667,64529265.8333333,40373125.3333333,64066938.1666667,71359322.0,71161041.6666667,71359322.0,71359322.0,71161041.6666667,71359322.0,40256600.1666667,71359322.0,63931213.8333333,71359322.0,40373125.3333333,40373125.3333333,58251395.0,40373125.3333333,71161041.6666667,58251395.0,71161041.6666667
5511710.0,23825519.8,0.0,27006263.8,23825519.8,25158727.6666667,0.0,24056617.6666667,27006263.8,24648636.6666667,0.0,,23825519.8,,,23825519.8,5511710.0,,5511710.0,13300489.0,5511710.0,24648636.6666667,24648636.6666667,25158727.6666667,24648636.6666667,23825519.8,25158727.6666667,23825519.8
16027001.3333333,17028925.6666667,71164752.0,12464580.0,17028925.6666667,23903054.6666667,71164752.0,18549544.4,12464580.0,25213185.25,71164752.0,16027001.3333333,17028925.6666667,16027001.3333333,16027001.3333333,17028925.6666667,16027001.3333333,18549544.4,16027001.3333333,4248351.5,16027001.3333333,25213185.25,25213185.25,23903054.6666667,25213185.25,17028925.6666667,23903054.6666667,17028925.6666667
,34061427.3333333,34850522.5,37284677.8333333,34061427.3333333,46178582.4,34850522.5,36526700.8333333,37284677.8333333,27232196.3333333,34850522.5,31773504.5,34061427.3333333,,31773504.5,34061427.3333333,,36526700.8333333,31773504.5,32485410.6666667,31773504.5,27232196.3333333,27232196.3333333,46178582.4,27232196.3333333,34061427.3333333,46178582.4,34061427.3333333
0.0,,,0.0,,0.0,,,,4169242.0,,0.0,,,0.0,,,,0.0,,,,4169242.0,,4169242.0,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
45577177.0,0.0,15388474.0,32949903.0,,20487506.75,,22295375.5,32949903.0,212275243.0,15388474.0,45577177.0,,45577177.0,,0.0,45577177.0,22295375.5,45577177.0,0.0,45577177.0,212275243.0,212275243.0,20487506.75,212275243.0,,20487506.75,
,,0.0,2095443.0,,,0.0,,,3721892.0,,1917343.0,0.0,,,,,,1917343.0,,,3721892.0,,,3721892.0,,4071383.0,0.0
24069311.8333333,27828487.5,25691367.3333333,27319367.3333333,27828487.5,19279325.1666667,25691367.3333333,25032702.6666667,27319367.3333333,15701664.3333333,25691367.3333333,24069311.8333333,27828487.5,24069311.8333333,24069311.8333333,27828487.5,24069311.8333333,25032702.6666667,24069311.8333333,24076786.0,24069311.8333333,15701664.3333333,15701664.3333333,19279325.1666667,15701664.3333333,27828487.5,19279325.1666667,27828487.5
6737949.5,3847494.0,8241250.0,6145493.0,3847494.0,8011859.5,8241250.0,6003311.33333333,6145493.0,4911808.6,8241250.0,6737949.5,3847494.0,6737949.5,6737949.5,3847494.0,6737949.5,6003311.33333333,6737949.5,4526680.0,6737949.5,4911808.6,4911808.6,8011859.5,4911808.6,3847494.0,8011859.5,3847494.0
28410509.0,31505584.3333333,25399445.3333333,33458287.5,31505584.3333333,26074041.3333333,25399445.3333333,25130145.6666667,33458287.5,24442834.3333333,25399445.3333333,28410509.0,31505584.3333333,28410509.0,28410509.0,31505584.3333333,28410509.0,25130145.6666667,28410509.0,31721752.3333333,28410509.0,24442834.3333333,24442834.3333333,26074041.3333333,24442834.3333333,31505584.3333333,26074041.3333333,31505584.3333333
34696907.8333333,29056722.5,24236288.5,35430987.6666667,29056722.5,29212497.3333333,24236288.5,29536712.6666667,35430987.6666667,26917343.6666667,24236288.5,34696907.8333333,29056722.5,34696907.8333333,34696907.8333333,29056722.5,34696907.8333333,29536712.6666667,34696907.8333333,33701429.8,34696907.8333333,26917343.6666667,26917343.6666667,29212497.3333333,26917343.6666667,29056722.5,29212497.3333333,29056722.5
0.0,10629723.0,,13165052.4,,24668821.6666667,8862040.0,7334343.25,13165052.4,10444528.5,,0.0,10629723.0,0.0,,10629723.0,0.0,7334343.25,0.0,9983169.75,,10444528.5,10444528.5,24668821.6666667,10444528.5,10629723.0,24668821.6666667,10629723.0
118150189.0,,25827023.0,,,0.0,25827023.0,19400041.0,,19817772.25,,,16020173.0,118150189.0,118150189.0,,,19400041.0,118150189.0,36972472.3333333,118150189.0,,19817772.25,0.0,19817772.25,16020173.0,0.0,16020173.0
6925822.0,13685086.0,23577670.0,12935688.25,13685086.0,0.0,,11202365.5,12935688.25,8978713.0,23577670.0,6925822.0,13685086.0,6925822.0,6925822.0,13685086.0,6925822.0,11202365.5,6925822.0,43597377.0,6925822.0,8978713.0,8978713.0,0.0,8978713.0,13685086.0,0.0,13685086.0
68977495.8333333,71528859.0,66462963.8333333,92394581.5,71528859.0,65567627.6666667,66462963.8333333,58648214.0,92394581.5,68975547.1666667,66462963.8333333,68977495.8333333,71528859.0,68977495.8333333,68977495.8333333,71528859.0,68977495.8333333,58648214.0,68977495.8333333,63478348.8333333,68977495.8333333,68975547.1666667,68975547.1666667,65567627.6666667,68975547.1666667,71528859.0,65567627.6666667,71528859.0
16144510.0,,17284913.0,,22042469.5,22571254.5,,,,,,16144510.0,,16144510.0,16144510.0,,,,16144510.0,14592436.0,16144510.0,,0.0,22571254.5,,,22571254.5,
,,,0.0,,0.0,,,0.0,,0.0,6494259.0,,6494259.0,6494259.0,,,,,0.0,6494259.0,6639718.0,,0.0,,,0.0,
14059711.1666667,12779388.0,12331227.75,18514570.0,12779388.0,10090767.6666667,12331227.75,14249791.8,18514570.0,11418211.6666667,12331227.75,14059711.1666667,12779388.0,14059711.1666667,14059711.1666667,12779388.0,14059711.1666667,14249791.8,14059711.1666667,10431672.1666667,14059711.1666667,11418211.6666667,11418211.6666667,10090767.6666667,11418211.6666667,12779388.0,10090767.6666667,12779388.0
30930767.0,,357520.0,0.0,,15058945.0,,0.0,,,,30930767.0,,30930767.0,30930767.0,,30930767.0,0.0,30930767.0,15318364.0,30930767.0,10620084.0,10620084.0,15058945.0,,,15058945.0,32667158.0
9892374.0,7934752.0,8889198.5,6294711.5,7934752.0,11732613.25,8889198.5,6733911.75,6294711.5,5642776.25,8889198.5,9892374.0,7934752.0,9892374.0,9892374.0,7934752.0,9892374.0,6733911.75,9892374.0,9195937.33333333,9892374.0,5642776.25,5642776.25,11732613.25,5642776.25,7934752.0,,7934752.0
91412017.8333333,87845381.6666667,77860811.6666667,105513340.0,87845381.6666667,63322125.1666667,77860811.6666667,79546929.3333333,105513340.0,66422751.3333333,77860811.6666667,91412017.8333333,87845381.6666667,91412017.8333333,91412017.8333333,87845381.6666667,91412017.8333333,79546929.3333333,91412017.8333333,74252294.1666667,91412017.8333333,66422751.3333333,66422751.3333333,63322125.1666667,66422751.3333333,87845381.6666667,63322125.1666667,87845381.6666667
6435557.5,14610429.6666667,5100572.0,19342236.6666667,14610429.6666667,11363756.0,5100572.0,9419345.25,19342236.6666667,14121051.5,5100572.0,6435557.5,14610429.6666667,6435557.5,6435557.5,14610429.6666667,6435557.5,,6435557.5,0.0,,14121051.5,14121051.5,11363756.0,14121051.5,14610429.6666667,11363756.0,14610429.6666667
,,0.0,,,,0.0,21960968.3333333,,,0.0,,,,,,,21960968.3333333,,,0.0,,0.0,14915776.5,0.0,,14915776.5,
